Species,Component,a,b,Reference
Red spruce,Wood,0.0989,2.2814,Lambert 2005
Silver maple,Bark,0.0278,2.0433,Lambert 2005
Silver maple,Branches,0.0028,3.102,Lambert 2005
Silver maple,Foliage,0.143,1.258,Lambert 2005
Silver maple,Wood,0.2324,2.1,Lambert 2005
Sitka spruce,Bark,0.0066,2.4433,Ung 2008
Sitka spruce,Branches,0.0739,1.8342,Ung 2008
Sitka spruce,Foliage,0.0157,2.3113,Ung 2008
Sitka spruce,Wood,0.0302,2.5776,Ung 2008
Subalpine fir,Bark,0.0061,2.5375,Ung 2008
Subalpine fir,Branches,0.0178,2.4255,Ung 2008
Subalpine fir,Foliage,0.0416,2.013,Ung 2008
Subalpine fir,Wood,0.025,2.6378,Ung 2008
Sugar maple,Bark,0.0631,1.9241,Lambert 2005
Sugar maple,Branches,0.033,2.3741,Lambert 2005
Sugar maple,Foliage,0.0393,1.693,Lambert 2005
Sugar maple,Wood,0.1315,2.3129,Lambert 2005
Tamarack larch,Bark,0.0174,2.1109,Lambert 2005
Tamarack larch,Branches,0.0196,2.2652,Lambert 2005
Tamarack larch,Foliage,0.0801,1.4875,Lambert 2005
Tamarack larch,Wood,0.0625,2.4475,Lambert 2005
Trembling aspen,Bark,0.0159,2.4123,Ung 2008
Trembling aspen,Branches,0.0082,2.5139,Ung 2008
Trembling aspen,Foliage,0.0235,1.6656,Ung 2008
Trembling aspen,Wood,0.0608,2.4735,Ung 2008
Western hemlock,Bark,0.0025,2.8062,Ung 2008
Western hemlock,Branches,0.0703,1.9547,Ung 2008
Western hemlock,Foliage,0.1676,1.4339,Ung 2008
Western hemlock,Wood,0.0141,2.8668,Ung 2008
Western red cedar,Bark,0.0003,3.2721,Ung 2008
Western red cedar,Branches,0.1158,1.7196,Ung 2008
Western red cedar,Foliage,0.1233,1.5152,Ung 2008
Western red cedar,Wood,0.0111,2.8027,Ung 2008
White ash,Bark,0.0406,1.9946,Lambert 2005
White ash,Branches,0.0461,2.2291,Lambert 2005
White ash,Foliage,0.1106,1.2277,Lambert 2005
White ash,Wood,0.1861,2.1665,Lambert 2005
White birch,Bark,0.014,2.3923,Ung 2008
White birch,Branches,0.0147,2.5227,Ung 2008
White birch,Foliage,0.0591,1.6036,Ung 2008
White birch,Wood,0.0604,2.4959,Ung 2008
White elm,Bark,0.0073,2.4859,Lambert 2005
White elm,Branches,0.0401,2.1826,Lambert 2005
White elm,Foliage,0.075,1.3436,Lambert 2005
White elm,Wood,0.0402,2.5804,Lambert 2005
White oak,Bark,0.0338,1.9845,Lambert 2005
White oak,Branches,0.0113,2.6211,Lambert 2005
White oak,Foliage,0.0188,1.7881,Lambert 2005
White oak,Wood,0.0762,2.3335,Lambert 2005
White spruce,Bark,0.0114,2.3057,Ung 2008
White spruce,Branches,0.0302,2.0927,Ung 2008
White spruce,Foliage,0.1515,1.5012,Ung 2008
White spruce,Wood,0.0334,2.598,Ung 2008
Yellow birch,Bark,0.0192,2.2475,Lambert 2005
Yellow birch,Branches,0.0305,2.4044,Lambert 2005
Yellow birch,Foliage,0.1119,1.3973,Lambert 2005
Yellow birch,Wood,0.1932,2.1569,Lambert 2005
