Species,Component,a,b,c,Reference
Red ash,Foliage,0.0761,1.3077,0,Lambert 2005
Red ash,Wood,0.0224,1.7845,1.066,Lambert 2005
Red Maple,Bark,0.0283,2.0907,0,Lambert 2005
Red Maple,Branches,0.0225,2.4106,0,Lambert 2005
Red Maple,Foliage,0.0571,1.4898,0,Lambert 2005
Red Maple,Wood,0.0315,2.0342,0.7485,Lambert 2005
Red oak,Bark,0.0326,1.81,0.4153,Lambert 2005
Red oak,Branches,0.0013,3.0637,0.3153,Lambert 2005
Red oak,Foliage,0.0582,1.5438,0,Lambert 2005
Red oak,Wood,0.0285,1.8501,1.0204,Lambert 2005
Red pine,Bark,0.0277,1.5192,0.4645,Lambert 2005
Red pine,Branches,0.0125,3.3865,-1.1939,Lambert 2005
Red pine,Foliage,0.0731,2.3439,-0.7378,Lambert 2005
Red pine,Wood,0.0106,1.7725,1.3285,Lambert 2005
Red spruce,Bark,0.0274,2.0188,0,Lambert 2005
Red spruce,Branches,0.0005,3.3136,0,Lambert 2005
Red spruce,Foliage,0.0106,2.2709,0,Lambert 2005
Red spruce,Wood,0.0143,1.6441,1.4065,Lambert 2005
Silver maple,Bark,0.0123,1.825,0.501,Lambert 2005
Silver maple,Branches,0.0543,3.7343,-1.6497,Lambert 2005
Silver maple,Foliage,6.6808,2.1092,-2.1697,Lambert 2005
Silver maple,Wood,0.0274,1.7126,1.1086,Lambert 2005
Sitka spruce,Bark,0.0045,1.2275,1.519,Ung 2008
Sitka spruce,Branches,0.0498,1.9671,0,Ung 2008
Sitka spruce,Foliage,0.014,3.1305,-0.907,Ung 2008
Sitka spruce,Wood,0.0237,2.5813,0.0822,Ung 2008
Subalpine fir,Bark,0.0061,1.8603,0.7693,Ung 2008
Subalpine fir,Branches,0.0265,3.6747,-1.5958,Ung 2008
Subalpine fir,Foliage,0.0509,2.9909,-1.2271,Ung 2008
Subalpine fir,Wood,0.022,1.6469,1.1714,Ung 2008
Sugar maple,Bark,0.0103,1.7111,0.8509,Lambert 2005
Sugar maple,Branches,0.0661,2.594,-0.4933,Lambert 2005
Sugar maple,Foliage,2.5019,2.4527,-2.3008,Lambert 2005
Sugar maple,Wood,0.0301,2.0313,0.8171,Lambert 2005
Tamarack larch,Bark,0.012,1.7059,0.5811,Lambert 2005
Tamarack larch,Branches,0.0336,3.1335,-1.1559,Lambert 2005
Tamarack larch,Foliage,0.1324,2.114,-0.8781,Lambert 2005
Tamarack larch,Wood,0.0276,1.6724,1.1443,Lambert 2005
Trembling aspen,Bark,0.0063,2.0744,0.6691,Ung 2008
Trembling aspen,Branches,0.015,2.9068,-0.6306,Ung 2008
Trembling aspen,Foliage,0.0284,1.602,0,Ung 2008
Trembling aspen,Wood,0.0143,1.9369,1.0579,Ung 2008
Western hemlock,Bark,0.0019,2.3356,0.6371,Ung 2008
Western hemlock,Branches,0.0609,2.0021,0,Ung 2008
Western hemlock,Foliage,0.2656,2.0107,-0.7963,Ung 2008
Western hemlock,Wood,0.0113,1.9332,1.1125,Ung 2008
Western red cedar,Bark,0.0002,2.4369,1.1315,Ung 2008
Western red cedar,Branches,0.0611,1.9208,0,Ung 2008
Western red cedar,Foliage,0.1097,1.553,0,Ung 2008
Western red cedar,Wood,0.0188,1.3376,1.5293,Ung 2008
White ash,Bark,0.0126,1.6456,0.7893,Lambert 2005
White ash,Branches,0.0354,2.3046,0,Lambert 2005
White ash,Foliage,0.0195,1.0509,0.7836,Lambert 2005
White ash,Wood,0.0224,1.7438,1.1899,Lambert 2005
White birch,Bark,0.0079,1.9905,0.6553,Ung 2008
White birch,Branches,0.0253,3.1518,-0.9083,Ung 2008
White birch,Foliage,0.1361,2.2978,-1.0934,Ung 2008
White birch,Wood,0.0333,2.0794,0.6811,Ung 2008
White elm,Bark,0.0078,2.454,0,Lambert 2005
White elm,Branches,0.0393,2.188,0,Lambert 2005
White elm,Foliage,0.0516,1.4511,0,Lambert 2005
White elm,Wood,0.0207,2.2276,0.6488,Lambert 2005
White oak,Bark,0.0308,1.7479,0.3504,Lambert 2005
White oak,Branches,0.0022,2.0165,1.3953,Lambert 2005
White oak,Foliage,0.0053,1.2822,1.1323,Lambert 2005
White oak,Wood,0.0442,1.6818,1.031,Lambert 2005
White spruce,Bark,0.0096,1.6901,0.7393,Ung 2008
White spruce,Branches,0.0322,2.8961,-0.9203,Ung 2008
White spruce,Foliage,0.1832,2.4144,-1.0948,Ung 2008
White spruce,Wood,0.0252,1.7819,1.0022,Ung 2008
Yellow birch,Bark,0.0069,2.0834,0.5371,Lambert 2005
Yellow birch,Branches,0.0325,2.3851,0,Lambert 2005
Yellow birch,Foliage,0.1683,1.2764,0,Lambert 2005
Yellow birch,Wood,0.0259,1.9044,0.9715,Lambert 2005
