"species","n","dbh_min","dbh_max","dbh_mean","dbt_mean","dbt_sd","f_area_mean","f_area_sd","f_area_lo","f_area_hi"
"tamarack",42,12.192,31.496,19.3705238095238,1.29419047619048,0.311386140808438,0.133336871695818,0.0355199834269597,0.122562912749271,0.143773388632216
"western larch",15,16.256,39.37,29.2438666666667,3.94546666666667,1.6146395381308,0.244357983898266,0.0612763614063803,0.214787387124952,0.274658990454729
