"leading_species","area_ha","national_barkC_Mg","refit_barkC_Mg","diff_Mg","diff_pct","refit_CI95_lo","refit_CI95_hi"
"western larch",376454.713170937,3153541.50584999,5030901.25571054,1877359.74986055,59.5317913646591,2085685.75897974,11540026.1797538
"tamarack",162543.27514138,435730.357686072,382065.611199512,-53664.7464865602,-12.3160448979375,335980.140084048,431609.229868542
"all larch",538997.988312319,3589271.86353607,5412966.86691002,1823695.00337395,50.8096090993032,2148542.25303986,12126756.1136778
