"leading_species","n_polygons","area_ha","national_TgC","refit_TgC","affleck_TgC","refit_vs_national_pct","affleck_vs_national_pct"
"western larch",45934,376454.713170937,3.15354150584999,5.03090125571054,4.31137745542203,59.5317913646591,36.7154181235348
"tamarack",21475,162543.27514138,0.435730357686072,0.382065611199512,NA,-12.3160448979375,NA
