"species","variable","n","mean","sd","se","skew","kurtosis","shapiro_W","shapiro_p"
"tamarack","stem bark (kg)",439,7.95859451025057,8.62384198200495,0.411593521233223,1.74527373729834,4.59127309534635,0.819967220046049,8.10905237756955e-22
"tamarack","log stem bark",439,1.30350904835054,1.46260391101386,0.0698062760379708,-0.553092266473074,-0.545486816407452,0.95587263961711,3.48470438709563e-10
"tamarack","log-log residuals",439,-3.26061627710527e-15,0.248414567980155,0.0118561804557568,-0.717974258825297,2.68988059856428,0.966553709739182,1.85101810715641e-08
"western larch","stem bark (kg)",13,8.56242129230769,6.03962343649461,1.67509015267503,0.886263082029995,-0.602377874823321,0.850569369225298,0.0289941236700846
"western larch","log stem bark",13,1.92519614067556,0.692296639582804,0.192008540911324,0.233026806496446,-1.18124760968091,0.924641316335739,0.289542619971605
"western larch","log-log residuals",13,1.0974127589564e-15,0.113831012285973,0.0315710424257727,-0.190017035990265,-0.665678467460158,0.964707638833906,0.824162883408571
