"species","slope","slope_lo","slope_hi","r","p","intercept","scal_n","scal_a","scal_b","scal_b_se","scal_b_lo","scal_b_hi","scal_r2","scal_t_vs_isometry","scal_p_vs_isometry","rob_loo_slope_min","rob_loo_slope_max","rob_loo_sign_stable","rob_loo_p_max","rob_loo_exponent_min","rob_loo_exponent_max","rob_loo_exponent_all_above_2","rob_spearman_rho","rob_spearman_p"
"tamarack",-0.00421456175250495,-0.00571069827731379,-0.00289843692915748,-0.547606428751985,0.000174462819436062,0.214975140469424,42,0.663908755005838,1.35820889766605,0.166139499808049,1.02242844324621,1.69398935208589,0.625581907666124,-3.86296517730854,0.000400811054588856,-0.00454240899398363,-0.00391081781525856,TRUE,0.000588366957735118,1.30354402341508,1.39116241325253,FALSE,-0.586198602384171,4.52036861435752e-05
"western larch",0.00458943254878596,9.5175629612097e-05,0.00943745840052096,0.483995540448693,0.0675371629813896,0.110145230365909,15,0.028584468214227,2.55893507498821,0.267375621227199,1.9813051633867,3.13656498658972,0.875711866511268,2.09044890638424,0.0567879666179185,0.00301328091622379,0.0055447459785549,TRUE,0.215074021937754,2.3032022257427,2.78900862154492,TRUE,0.426907374840969,0.112505723026513
