author,loc,spcd,treeno,section_id,disk_id,ht,wdbk_thk,ob_d_1,ob_d_2,ob_d_avg,ib_d_1,ib_d_2,ib_d_avg,wd_cl_def1,wd_d_def1,wd_cv_def1,wd_cl_def2,wd_d_def2,wd_cv_def2,wd_cl_def3,wd_d_def3,wd_cv_def3,wdbk_gw,wd_gw,bk_gw,wdbk_gw_1,wd_gw_1,bk_gw_1,wdbk_cv,wd_cv,bk_cv,wd_gw_sub,bk_gw_sub,wd_dw_sub,bk_dw_sub,wd_cv_sub,bk_cv_sub,temp,wdbk_mc,wd_mc,bk_mc,bk_frac,wdbk_sg,wd_sg,bk_sg
Baldwin,1,131,105,5,5,14.5,,17.3,,17.3,16,,16.3,,,,,,,,,,5396,5110,286,5396,5110,286,,,,806.9,22.72,460.5,11,840,34.4,105,,75.22,115.76,0.053,,0.5482,0.3061
Baldwin,1,131,105,6,6,19.5,,16.4,,16.4,16,,15.6,,,,,,,,,,6320,6010,310,6320,6010,310,,,,1121.9,18.25,553.6,10,1157.8,32.09,105,,102.66,78.22,0.0491,,0.4781,0.3191
Baldwin,1,131,105,7,7,24.5,,16.3,,16.3,16,,15.5,,,,,,,,,,4322.5,4060,262.5,4322.5,4060,262.5,,,,1122,23.67,548,13,1128.6,42.5,105,,104.74,88.61,0.0607,,0.4856,0.2953
Baldwin,1,131,105,8,8,29.5,,15.5,,15.5,15,,14.7,,,,,,,,,,2655,2512,143,2655,2512,143,,,,382.8,11.23,209.8,6,378.2,21.36,105,,82.46,73.04,0.0539,,0.5547,0.3038
Baldwin,1,131,105,9,9,34.5,,15.3,,15.3,15,,14.6,,,,,,,,,,3652.2,3410.3,241.9,3652.2,3410.3,241.9,,,,828.3,21.12,392.8,11,858.2,36.14,105,,110.87,87.23,0.0662,,0.4577,0.3121
Baldwin,1,131,105,10,10,40,,14.3,,14.3,14,,13.6,,,,,,,,,,3823.5,3628,195.5,3823.5,3628,195.5,,,,593.4,19.38,273.5,10,609.8,31.11,105,,116.97,93.22,0.0511,,0.4485,0.3224
Baldwin,1,131,105,11,11,44.5,,13.9,,13.9,13,,13.2,,,,,,,,,,3476.7,3288.8,187.9,3476.7,3288.8,187.9,,,,522.6,22.76,237.2,12,543.3,37.72,105,,120.32,93.37,0.054,,0.4366,0.312
Baldwin,1,131,105,12,12,49.5,,13.2,,13.2,13,,12.6,,,,,,,,,,1891.1,1777.2,113.9,1891.1,1777.2,113.9,,,,303.9,13.25,154.3,6,316.7,19.88,105,,96.95,112,0.0602,,0.4872,0.3144
Baldwin,1,131,105,13,13,55,,11.9,,11.9,11,,11.4,,,,,,,,,,1282.2,1211.5,70.7,1282.2,1211.5,70.7,,,,303.7,7.44,141.1,4,312.9,11.28,105,,115.24,103.28,0.0551,,0.4509,0.3245
Baldwin,1,131,105,14,14,59,,11.5,,11.5,11,,10.8,,,,,,,,,,2880.6,2744.4,136.2,2880.6,2744.4,136.2,,,,548.4,14.17,251.1,8,548.1,22.7,105,,118.4,81.9,0.0473,,0.4581,0.3432
Baldwin,1,131,105,15,15,65,,9.8,,9.8,9,,9,,,,,,,,,,1654,1531.1,122.9,1654,1531.1,122.9,,,,268.7,18.14,123.9,8,270,26.56,105,,116.87,129.04,0.0743,,0.4589,0.2982
Baldwin,1,131,105,16,16,70,,8.2,,8.2,8,,7.7,,,,,,,,,,822.4,756,66.4,822.4,756,66.4,,,,150.6,13.04,71.2,6,159.2,19.22,105,,111.52,133.69,0.0807,,0.4472,0.2903
Baldwin,1,131,105,17,17,74.5,,6.9,,6.9,6,,6.4,,,,,,,,,,916.3,835,81.3,916.3,835,81.3,,,,165.6,13.23,74.3,6,169.8,19.1,105,,122.88,140.11,0.0887,,0.4376,0.2885
Baldwin,1,131,105,18,18,79.5,,4.5,,4.5,4,,4.2,,,,,,,,,,484.1,431.8,52.3,484.1,431.8,52.3,,,,431,12.3,192.2,4,450.5,15.87,105,,124.25,177.65,0.108,,0.4266,0.2791
Baldwin,1,131,105,19,19,84.5,,2.5,,2.5,2,,2.2,,,,,,,,,,132.7,116.9,15.8,132.7,116.9,15.8,,,,115.5,8.96,47.6,3,119.7,11.2,105,,142.65,186.26,0.1191,,0.3977,0.2795
Baldwin,1,131,106,1,1,0.5,,16.7,,16.7,16,,15.9,,,,,,,,,,1869.2,1735.8,133.4,1869.2,1735.8,133.4,,,,379.6,12.87,256.6,8,423.7,22.26,105,,47.93,60.47,0.0714,,0.6056,0.3603
Baldwin,1,131,106,2,2,2,,15.2,,15.2,14,,14.4,,,,,,,,,,2491.2,2326.1,165.1,2491.2,2326.1,165.1,,,,408,16.28,252.6,9,426.3,25.26,105,,61.52,87.99,0.0663,,0.5925,0.3428
Baldwin,1,131,106,3,3,4.5,,14.3,,14.3,14,,13.6,,,,,,,,,,4434.4,4195.4,239,4434.4,4195.4,239,,,,896.8,11.3,550,7,930.2,19.47,105,,63.05,73.31,0.0539,,0.5913,0.3349
Baldwin,1,131,106,4,4,9.5,,13.7,,13.7,13,,13.2,,,,,,,,,,2105.4,1993.2,112.2,2105.4,1993.2,112.2,,,,369.7,14.16,229.5,7,371.8,19.64,105,,61.09,112.29,0.0533,,0.6173,0.3396
Baldwin,1,131,106,5,5,14.5,,13,,13,12,,12.5,,,,,,,,,,1392.4,1313.8,78.6,1392.4,1313.8,78.6,,,,297.6,9.79,180.8,5,299.3,14.75,105,,64.6,89,0.0564,,0.6041,0.3512
Baldwin,1,131,106,6,6,19.5,,12.8,,12.8,12,,12.2,,,,,,,,,,2810,2647.6,162.4,2810,2647.6,162.4,,,,427.7,11.13,250.7,5,429.1,15,105,,70.6,111.6,0.0578,,0.5842,0.3507
Baldwin,1,131,106,7,7,24.5,,12.3,,12.3,12,,11.8,,,,,,,,,,1539.9,1449.3,90.6,1539.9,1449.3,90.6,,,,290.7,9.26,163.7,3,303.2,10.91,105,,77.58,169.97,0.0588,,0.5399,0.3144
Baldwin,1,131,106,8,8,29.5,,11.8,,11.8,11,,11.3,,,,,,,,,,1583.1,1493.4,89.7,1583.1,1493.4,89.7,,,,288,11.35,170.5,5,299.7,15.7,105,,68.91,114.96,0.0567,,0.5689,0.3363
Baldwin,1,131,106,9,9,34.5,,11.2,,11.2,11,,10.8,,,,,,,,,,1610.1,1524.1,86,1610.1,1524.1,86,,,,261.3,5.31,147.2,2,269.8,7.38,105,,77.51,128.88,0.0534,,0.5456,0.3144
Baldwin,1,131,106,10,10,39.5,,10.7,,10.7,10,,10.3,,,,,,,,,,1035.9,974,61.9,1035.9,974,61.9,,,,171.3,6.88,95.2,3,183.7,9.71,105,,79.94,105.37,0.0598,,0.5182,0.345
Baldwin,1,131,106,11,11,44.5,,10.2,,10.2,10,,9.8,,,,,,,,,,2059.6,1937.7,121.9,2059.6,1937.7,121.9,,,,304.8,15.56,157,7,316.5,21.2,105,,94.14,126.49,0.0592,,0.4961,0.3241
Baldwin,1,131,106,12,12,49.5,,9.9,,9.9,10,,9.5,,,,,,,,,,1840.1,1729.4,110.7,1840.1,1729.4,110.7,,,,339.7,11.7,176,5,354,16.03,105,,93.01,121.59,0.0602,,0.4972,0.3294
Baldwin,1,131,106,13,13,54.5,,9.3,,9.3,9,,8.9,,,,,,,,,,1285.2,1206.9,78.3,1285.2,1206.9,78.3,,,,246.7,5.4,118.2,2,254.3,7.32,105,,108.71,132.76,0.0609,,0.4648,0.3169
Baldwin,1,131,106,14,14,59.5,,8.9,,8.9,8,,8.4,,,,,,,,,,1570.3,1453.9,116.4,1570.3,1453.9,116.4,,,,261.6,15.26,128.4,6,259.4,21,105,,103.74,149.35,0.0741,,0.495,0.2914
Baldwin,1,131,106,15,15,64,,8.1,,8.1,8,,7.6,,,,,,,,,,1395.6,1284.8,110.8,1395.6,1284.8,110.8,,,,249.1,18.05,117.7,7,245.6,23.9,105,,111.64,156.03,0.0794,,0.4792,0.295
Baldwin,1,131,106,16,16,69,,6.7,,6.7,6,,6.3,,,,,,,,,,571,517.6,53.4,571,517.6,53.4,,,,80.1,8.56,37.4,3,82.5,10.6,105,,114.17,183.44,0.0935,,0.4533,0.2849
Baldwin,1,131,106,17,17,74,,5.1,,5.1,5,,4.7,,,,,,,,,,360.9,326.1,34.8,360.9,326.1,34.8,,,,324.9,7.98,150.8,3,324.8,10.42,105,,115.45,194.46,0.0964,,0.4643,0.2601
Baldwin,1,131,106,18,18,81,,2.4,,2.4,2,,2.2,,,,,,,,,,58.7,48.7,10,58.7,48.7,10,,,,48.1,4.83,23.1,2,52.1,6.25,105,,108.23,201.88,0.1704,,0.4434,0.256
Baldwin,1,131,107,1,1,0.5,,22.3,,22.3,21,,20.7,,,,,,,,,,10440,9720,720,10440,9720,720,,,,1583.3,30.72,924.3,22,1666.8,65.9,105,,71.3,41.44,0.069,,0.5545,0.3296
Baldwin,1,131,107,2,2,2,,20.2,,20.2,19,,18.6,,,,,,,,,,7260,6730,530,7260,6730,530,,,,1009.8,36.32,601.9,26,1048.3,78.7,105,,67.77,41.82,0.073,,0.5742,0.3254
Baldwin,1,131,107,3,3,4.5,,18.6,,18.6,17,,17.2,,,,,,,,,,7470,6965,505,7470,6965,505,,,,1173.2,28.58,715.5,22,1220.4,61.28,105,,63.97,31.89,0.0676,,0.5863,0.3536
Baldwin,1,131,107,4,4,9.5,,17.5,,17.5,16,,16.4,,,,,,,,,,4204,3932,272,4204,3932,272,,,,706.7,26.01,414.2,19,724.9,50.93,105,,70.62,40.52,0.0647,,0.5714,0.3634
Baldwin,1,131,107,5,5,14.5,,16.9,,16.9,16,,16.1,,,,,,,,,,3897.6,3657.7,239.9,3897.6,3657.7,239.9,,,,861.7,22.89,442.4,13,854.8,37.76,105,,94.78,73.8,0.0616,,0.5175,0.3488
Baldwin,1,131,107,6,6,19.5,,16.6,,16.6,16,,15.8,,,,,,,,,,3870.2,3635.9,234.3,3870.2,3635.9,234.3,,,,603.2,22.22,321,13,599.2,34.33,105,,87.91,69.23,0.0605,,0.5357,0.3825
Baldwin,1,131,107,7,7,24.5,,16.2,,16.2,15,,15.4,,,,,,,,,,4247.2,4047.9,199.3,4247.2,4047.9,199.3,,,,778.4,16.51,433.4,12,783.2,27.88,105,,79.6,38.74,0.0469,,0.5534,0.4268
Baldwin,1,131,107,8,8,29.5,,15.6,,15.6,15,,14.8,,,,,,,,,,3249.5,3037.6,211.9,3249.5,3037.6,211.9,,,,484.8,16.72,243,8,475.1,23.7,105,,99.51,97.17,0.0652,,0.5115,0.3578
Baldwin,1,131,107,9,9,34.5,,15.1,,15.1,14,,14.3,,,,,,,,,,3699.9,3584.8,115.1,3699.9,3584.8,115.1,,,,637.4,18.18,291.2,9,649.4,25.17,105,,118.89,103.81,0.0311,,0.4484,0.3544
Baldwin,1,131,107,10,10,39.5,,14.3,,14.3,14,,13.6,,,,,,,,,,3822.2,3626.8,195.4,3822.2,3626.8,195.4,,,,642.7,19.27,305.5,11,646.8,29.67,105,,110.38,68.15,0.0511,,0.4723,0.3862
Baldwin,1,131,107,11,11,44.5,,13.6,,13.6,13,,12.9,,,,,,,,,,2627,2446.7,180.3,2627,2446.7,180.3,,,,454.2,11.82,223,7,443.9,16.18,105,,103.68,80.18,0.0686,,0.5024,0.4054
Baldwin,1,131,107,12,12,49.5,,12.9,,12.9,12,,12.2,,,,,,,,,,2701.5,2515.3,186.2,2701.5,2515.3,186.2,,,,401.6,21.18,184.9,12,409.9,28.65,105,,117.2,82.43,0.0689,,0.4511,0.4052
Baldwin,1,131,107,13,13,55,,11.9,,11.9,11,,11.3,,,,,,,,,,2356,2200,156,2356,2200,156,,,,336.7,17.98,154.7,10,343.3,26.42,105,,117.65,80.89,0.0662,,0.4506,0.3762
Baldwin,1,131,107,14,14,60,,10.7,,10.7,10,,10.1,,,,,,,,,,1424,1303.3,120.7,1424,1303.3,120.7,,,,261.5,15.27,122.9,6,264.8,18,105,,112.77,142.77,0.0848,,0.4641,0.3494
Baldwin,1,131,107,15,15,65.5,,8.8,,8.8,8,,8.2,,,,,,,,,,760.5,690.5,70,760.5,690.5,70,,,,138.8,11.75,65.5,4,141.5,13.35,105,,111.91,170.74,0.092,,0.4629,0.3251
Baldwin,1,131,107,16,16,71,,7.3,,7.3,7,,6.8,,,,,,,,,,783.5,712,71.5,783.5,712,71.5,,,,125.5,11.68,55.4,5,129.8,13.9,105,,126.53,155.58,0.0913,,0.4268,0.3288
Baldwin,1,131,107,17,17,79,,4.9,,4.9,5,,4.6,,,,,,,,,,269.5,238.9,30.6,269.5,238.9,30.6,,,,236.3,9.15,106.2,3,244.3,10.53,105,,122.5,181.54,0.1135,,0.4347,0.3086
Baldwin,1,131,107,18,18,80.5,,2.2,,2.2,2,,2,,,,,,,,,,62.5,52,10.5,62.5,52,10.5,,,,50.7,3.86,19.3,1,51.6,4.45,105,,162.69,175.71,0.168,,0.374,0.3146
Baldwin,1,131,108,1,1,0.5,,19.5,,19.5,18,,18.5,,,,,,,,,,6321.3,6120,201.3,6321.3,6120,201.3,,,,1560,23.02,847.8,15,1563.6,48.01,105,,84.01,54.7,0.0318,,0.5422,0.3099
Baldwin,1,131,108,2,2,2,,17.6,,17.6,17,,16.6,,,,,,,,,,5070.5,4802,268.5,5070.5,4802,268.5,,,,861.5,18.59,506,11,893.3,32.12,105,,70.26,69.31,0.053,,0.5664,0.3418
Baldwin,1,131,108,3,3,4.5,,16.5,,16.5,16,,15.7,,,,,,,,,,5448.2,5178,270.2,5448.2,5178,270.2,,,,900.5,15.81,503.5,10,921.7,30.4,105,,78.85,63.33,0.0496,,0.5463,0.3184
Baldwin,1,131,108,4,4,9.5,,16.5,,16.5,16,,15.7,,,,,,,,,,3910.5,3706,204.5,3910.5,3706,204.5,,,,700.3,18.32,390.3,11,716.3,31.94,105,,79.43,69.94,0.0523,,0.5449,0.3375
Baldwin,1,131,108,5,5,14.5,,16.2,,16.2,16,,15.5,,,,,,,,,,4105.3,3910,195.3,4105.3,3910,195.3,,,,698.5,15.28,377.9,9,695.4,26.67,105,,84.84,76.44,0.0476,,0.5434,0.3247
Baldwin,1,131,108,6,6,19.5,,16,,16,15,,15.4,,,,,,,,,,4049.6,3856.3,193.3,4049.6,3856.3,193.3,,,,671.5,16.16,366.5,6,697.4,26.18,105,,83.22,164.48,0.0477,,0.5255,0.2334
Baldwin,1,131,108,7,7,24.5,,15.5,,15.5,15,,15,,,,,,,,,,3813,3644.4,168.6,3813,3644.4,168.6,,,,571.1,15.19,332.3,7,570.8,22.28,105,,71.86,104.72,0.0442,,0.5822,0.333
Baldwin,1,131,108,8,8,29.5,,15.4,,15.4,15,,14.9,,,,,,,,,,2838.9,2720,118.9,2838.9,2720,118.9,,,,431.8,12.36,232,6,441.2,19.31,105,,86.12,90.45,0.0419,,0.5258,0.3361
Baldwin,1,131,108,9,9,34.5,,14.8,,14.8,14,,14.2,,,,,,,,,,4787.5,4588,199.5,4787.5,4588,199.5,,,,888.4,23.65,422.8,13,914.4,36.05,105,,110.12,83.19,0.0417,,0.4624,0.3581
Baldwin,1,131,108,10,10,39.5,,14.1,,14.1,14,,13.7,,,,,,,,,,2793.7,2698,95.7,2793.7,2698,95.7,,,,563.6,11.6,267.7,6,559.1,18.37,105,,110.53,94.63,0.0343,,0.4788,0.3244
Baldwin,1,131,108,11,11,44.5,,13.8,,13.8,13,,13.2,,,,,,,,,,3869.3,3700,169.3,3869.3,3700,169.3,,,,677,10.3,318.8,5,700.8,15.65,105,,112.36,87.61,0.0438,,0.4549,0.3508
Baldwin,1,131,108,12,12,49,,13.2,,13.2,13,,12.8,,,,,,,,,,2038.8,1947.5,91.3,2038.8,1947.5,91.3,,,,300.5,10.69,151.8,5,311.4,15.69,105,,97.96,98.7,0.0448,,0.4875,0.3429
Baldwin,1,131,108,13,13,54.5,,12.5,,12.5,12,,12,,,,,,,,,,3204.8,3056.6,148.2,3204.8,3056.6,148.2,,,,568.3,14.33,266.5,7,577.2,22.86,105,,113.25,111.67,0.0462,,0.4617,0.2962
Baldwin,1,131,108,14,14,60,,11.8,,11.8,11,,11.3,,,,,,,,,,2447,2321.4,125.6,2447,2321.4,125.6,,,,399.3,8.95,184,4,412.5,12.99,105,,117.01,155.71,0.0513,,0.4461,0.2694
Baldwin,1,131,108,15,15,65,,11.1,,11.1,11,,10.8,,,,,,,,,,1275.7,1217.9,57.8,1275.7,1217.9,57.8,,,,278.4,12.68,131.9,5,281.3,18.7,105,,111.07,131.39,0.0453,,0.4689,0.293
Baldwin,1,131,108,16,16,70,,9.7,,9.7,9,,9.2,,,,,,,,,,1811.7,1704.6,107.1,1811.7,1704.6,107.1,,,,433.3,10.94,193.5,5,438.9,16.85,105,,123.93,111.2,0.0591,,0.4409,0.3074
Baldwin,1,131,108,17,17,75,,8.3,,8.3,8,,7.9,,,,,,,,,,1274.5,1192.2,82.3,1274.5,1192.2,82.3,,,,200.3,10.34,86.6,3,211.2,13.64,105,,131.29,215.24,0.0646,,0.41,0.2405
