author,year,loc,spcd,common_name,sample_size,st_meand_bh,st_mind_bh,st_maxd_bh,lat,lon,prec,lat_lon_der,loc_desc,state
FIA-SRS,,51_2_147,110,shortleaf pine,37,7,5,11.5,37.2,-78.4,,,Prince Edward County VA,Virginia
FIA-SRS,,51_2_147,132,Virginia pine,10,7.5,5.1,11.8,37.2,-78.4,,,Prince Edward County VA,Virginia
FIA-SRS,,51_2_147,316,red maple,12,7,3.8,18,37.2,-78.4,,,Prince Edward County VA,Virginia
FIA-SRS,,51_2_147,400,hickory spp.,6,5,3.9,6.3,37.2,-78.4,,,Prince Edward County VA,Virginia
FIA-SRS,,51_2_147,611,sweetgum,2,7.8,7.2,8.4,37.2,-78.4,,,Prince Edward County VA,Virginia
FIA-SRS,,51_2_147,621,yellow-poplar,6,10.8,9.1,14.5,37.2,-78.4,,,Prince Edward County VA,Virginia
FIA-SRS,,51_2_147,693,blackgum,1,4.1,4.1,4.1,37.2,-78.4,,,Prince Edward County VA,Virginia
FIA-SRS,,51_2_147,800,oak spp.,1,8.5,8.5,8.5,37.2,-78.4,,,Prince Edward County VA,Virginia
FIA-SRS,,51_2_147,802,white oak,23,9.5,4.5,14.8,37.2,-78.4,,,Prince Edward County VA,Virginia
FIA-SRS,,51_2_147,806,scarlet oak,5,8.5,4.3,17,37.2,-78.4,,,Prince Edward County VA,Virginia
FIA-SRS,,51_2_147,812,southern red oak,1,4.9,4.9,4.9,37.2,-78.4,,,Prince Edward County VA,Virginia
FIA-SRS,,51_2_147,835,post oak,3,6.8,5.5,7.6,37.2,-78.4,,,Prince Edward County VA,Virginia
FIA-SRS,,51_2_147,837,black oak,3,5.1,4.4,6.2,37.2,-78.4,,,Prince Edward County VA,Virginia
FIA-SRS,,51_2_19,110,shortleaf pine,13,6.8,5.1,10,37.3,-79.5,,,Bedford County VA,Virginia
FIA-SRS,,51_2_19,126,pitch pine,3,9.8,9.2,10.3,37.3,-79.5,,,Bedford County VA,Virginia
FIA-SRS,,51_2_19,132,Virginia pine,38,7.6,4.6,13.2,37.3,-79.5,,,Bedford County VA,Virginia
FIA-SRS,,51_2_19,316,red maple,12,6.2,4.3,8.2,37.3,-79.5,,,Bedford County VA,Virginia
FIA-SRS,,51_2_19,400,hickory spp.,5,8,5.6,12.8,37.3,-79.5,,,Bedford County VA,Virginia
FIA-SRS,,51_2_19,540,ash spp.,1,14.8,14.8,14.8,37.3,-79.5,,,Bedford County VA,Virginia
FIA-SRS,,51_2_19,621,yellow-poplar,32,12.8,5,20,37.3,-79.5,,,Bedford County VA,Virginia
FIA-SRS,,51_2_19,680,mulberry spp.,2,18.9,17.2,20.7,37.3,-79.5,,,Bedford County VA,Virginia
FIA-SRS,,51_2_19,693,blackgum,2,11.4,9.5,13.3,37.3,-79.5,,,Bedford County VA,Virginia
FIA-SRS,,51_2_19,762,black cherry,1,6.1,6.1,6.1,37.3,-79.5,,,Bedford County VA,Virginia
FIA-SRS,,51_2_19,800,oak spp.,2,6.8,6.7,6.9,37.3,-79.5,,,Bedford County VA,Virginia
FIA-SRS,,51_2_19,802,white oak,11,11.8,5.5,19.9,37.3,-79.5,,,Bedford County VA,Virginia
FIA-SRS,,51_2_19,806,scarlet oak,12,9.1,5.3,12.7,37.3,-79.5,,,Bedford County VA,Virginia
FIA-SRS,,51_2_19,812,southern red oak,1,17.2,17.2,17.2,37.3,-79.5,,,Bedford County VA,Virginia
FIA-SRS,,51_2_19,832,chestnut oak,16,9.6,5.1,15.6,37.3,-79.5,,,Bedford County VA,Virginia
FIA-SRS,,51_2_19,833,northern red oak,1,10.6,10.6,10.6,37.3,-79.5,,,Bedford County VA,Virginia
FIA-SRS,,51_2_19,835,post oak,4,14,9.7,17.9,37.3,-79.5,,,Bedford County VA,Virginia
FIA-SRS,,51_2_19,837,black oak,6,11.7,6.3,17.2,37.3,-79.5,,,Bedford County VA,Virginia
FIA-SRS,,51_2_19,901,black locust,4,10.5,5.1,17.5,37.3,-79.5,,,Bedford County VA,Virginia
FIA-SRS,,51_2_19,950,basswood spp.,5,8.8,5.9,11.5,37.3,-79.5,,,Bedford County VA,Virginia
FIA-SRS,,51_2_19,999,unknown/other tree,4,6,5,7,37.3,-79.5,,,Bedford County VA,Virginia
FIA-SRS,,51_2_29,110,shortleaf pine,31,7.2,4.6,10.2,37.6,-78.5,,,Buckingham County VA,Virginia
FIA-SRS,,51_2_29,131,loblolly pine,19,6.9,5.3,8.8,37.6,-78.5,,,Buckingham County VA,Virginia
FIA-SRS,,51_2_29,132,Virginia pine,4,5.8,5.3,6.1,37.6,-78.5,,,Buckingham County VA,Virginia
FIA-SRS,,51_2_29,316,red maple,8,10.7,2.9,22.2,37.6,-78.5,,,Buckingham County VA,Virginia
FIA-SRS,,51_2_29,400,hickory spp.,2,8.8,6,11.6,37.6,-78.5,,,Buckingham County VA,Virginia
FIA-SRS,,51_2_29,540,ash spp.,2,7.9,7.4,8.3,37.6,-78.5,,,Buckingham County VA,Virginia
FIA-SRS,,51_2_29,611,sweetgum,3,6,3.1,9.8,37.6,-78.5,,,Buckingham County VA,Virginia
FIA-SRS,,51_2_29,621,yellow-poplar,14,10.5,3.6,22.6,37.6,-78.5,,,Buckingham County VA,Virginia
FIA-SRS,,51_2_29,693,blackgum,2,6.1,3.2,9,37.6,-78.5,,,Buckingham County VA,Virginia
FIA-SRS,,51_2_29,800,oak spp.,1,13.3,13.3,13.3,37.6,-78.5,,,Buckingham County VA,Virginia
FIA-SRS,,51_2_29,802,white oak,34,9.2,2.8,26,37.6,-78.5,,,Buckingham County VA,Virginia
FIA-SRS,,51_2_29,806,scarlet oak,4,9.3,4.8,12.8,37.6,-78.5,,,Buckingham County VA,Virginia
FIA-SRS,,51_2_29,812,southern red oak,7,10.9,2.6,17.3,37.6,-78.5,,,Buckingham County VA,Virginia
FIA-SRS,,51_2_29,832,chestnut oak,10,12,5.1,15.8,37.6,-78.5,,,Buckingham County VA,Virginia
FIA-SRS,,51_2_29,835,post oak,7,10,5.2,14.1,37.6,-78.5,,,Buckingham County VA,Virginia
FIA-SRS,,51_2_29,837,black oak,3,6.7,4.1,10.2,37.6,-78.5,,,Buckingham County VA,Virginia
FIA-SRS,,51_2_29,922,willow spp.,2,6.8,5.3,8.4,37.6,-78.5,,,Buckingham County VA,Virginia
FIA-SRS,,51_2_29,970,elm spp.,2,9.2,9.1,9.4,37.6,-78.5,,,Buckingham County VA,Virginia
FIA-SRS,,51_2_31,110,shortleaf pine,6,9.2,5.3,15.5,37.2,-79.1,,,Campbell County VA,Virginia
FIA-SRS,,51_2_31,132,Virginia pine,50,6.3,3.6,10.5,37.2,-79.1,,,Campbell County VA,Virginia
FIA-SRS,,51_2_31,316,red maple,6,6,4.3,9.6,37.2,-79.1,,,Campbell County VA,Virginia
FIA-SRS,,51_2_31,400,hickory spp.,8,11.5,6.6,16.3,37.2,-79.1,,,Campbell County VA,Virginia
FIA-SRS,,51_2_31,531,American beech,1,10.8,10.8,10.8,37.2,-79.1,,,Campbell County VA,Virginia
FIA-SRS,,51_2_31,540,ash spp.,5,8.4,5.3,11.2,37.2,-79.1,,,Campbell County VA,Virginia
FIA-SRS,,51_2_31,602,black walnut,1,13.2,13.2,13.2,37.2,-79.1,,,Campbell County VA,Virginia
FIA-SRS,,51_2_31,611,sweetgum,2,10.8,10.1,11.6,37.2,-79.1,,,Campbell County VA,Virginia
FIA-SRS,,51_2_31,621,yellow-poplar,3,6.2,3.5,8.4,37.2,-79.1,,,Campbell County VA,Virginia
FIA-SRS,,51_2_31,693,blackgum,3,9.3,4.4,12.1,37.2,-79.1,,,Campbell County VA,Virginia
FIA-SRS,,51_2_31,802,white oak,25,8.5,3,28.8,37.2,-79.1,,,Campbell County VA,Virginia
FIA-SRS,,51_2_31,806,scarlet oak,5,12.3,8.7,14.8,37.2,-79.1,,,Campbell County VA,Virginia
FIA-SRS,,51_2_31,812,southern red oak,1,5,5,5,37.2,-79.1,,,Campbell County VA,Virginia
FIA-SRS,,51_2_31,831,willow oak,1,5.9,5.9,5.9,37.2,-79.1,,,Campbell County VA,Virginia
FIA-SRS,,51_2_31,832,chestnut oak,20,10.5,5.2,18.8,37.2,-79.1,,,Campbell County VA,Virginia
FIA-SRS,,51_2_31,835,post oak,2,9.2,7.3,11.2,37.2,-79.1,,,Campbell County VA,Virginia
FIA-SRS,,51_2_31,837,black oak,1,9.1,9.1,9.1,37.2,-79.1,,,Campbell County VA,Virginia
FIA-SRS,,51_2_31,999,unknown/other tree,3,5.3,4.7,5.9,37.2,-79.1,,,Campbell County VA,Virginia
FIA-SRS,,51_2_37,68,eastern redcedar,2,6.8,6.2,7.4,37,-78.7,,,Charlotte County VA,Virginia
FIA-SRS,,51_2_37,110,shortleaf pine,48,8.4,5.8,13.2,37,-78.7,,,Charlotte County VA,Virginia
FIA-SRS,,51_2_37,132,Virginia pine,42,7,4.5,11.5,37,-78.7,,,Charlotte County VA,Virginia
FIA-SRS,,51_2_37,316,red maple,3,8.6,4.9,13.6,37,-78.7,,,Charlotte County VA,Virginia
FIA-SRS,,51_2_37,370,birch spp.,5,6.8,5.4,9.3,37,-78.7,,,Charlotte County VA,Virginia
FIA-SRS,,51_2_37,540,ash spp.,2,5.8,5.2,6.5,37,-78.7,,,Charlotte County VA,Virginia
FIA-SRS,,51_2_37,611,sweetgum,7,7.9,5.5,10,37,-78.7,,,Charlotte County VA,Virginia
FIA-SRS,,51_2_37,621,yellow-poplar,2,5.7,4.7,6.6,37,-78.7,,,Charlotte County VA,Virginia
FIA-SRS,,51_2_37,731,American sycamore,1,6.1,6.1,6.1,37,-78.7,,,Charlotte County VA,Virginia
FIA-SRS,,51_2_37,802,white oak,3,7.8,6.7,9.6,37,-78.7,,,Charlotte County VA,Virginia
FIA-SRS,,51_2_37,806,scarlet oak,4,9.3,6.2,11.4,37,-78.7,,,Charlotte County VA,Virginia
FIA-SRS,,51_2_37,812,southern red oak,3,10.1,6.7,14.5,37,-78.7,,,Charlotte County VA,Virginia
FIA-SRS,,51_2_37,835,post oak,1,15.9,15.9,15.9,37,-78.7,,,Charlotte County VA,Virginia
FIA-SRS,,51_2_37,970,elm spp.,1,4.1,4.1,4.1,37,-78.7,,,Charlotte County VA,Virginia
FIA-SRS,,51_2_37,999,unknown/other tree,2,4.9,4.8,5,37,-78.7,,,Charlotte County VA,Virginia
FIA-SRS,,51_2_49,110,shortleaf pine,27,6.5,3.1,10.8,37.5,-78.2,,,Cumberland County VA,Virginia
FIA-SRS,,51_2_49,132,Virginia pine,16,7.3,3.9,9.8,37.5,-78.2,,,Cumberland County VA,Virginia
FIA-SRS,,51_2_49,400,hickory spp.,3,6.5,5.9,7.1,37.5,-78.2,,,Cumberland County VA,Virginia
FIA-SRS,,51_2_49,611,sweetgum,1,7.2,7.2,7.2,37.5,-78.2,,,Cumberland County VA,Virginia
FIA-SRS,,51_2_49,621,yellow-poplar,3,11.4,9.6,13.1,37.5,-78.2,,,Cumberland County VA,Virginia
FIA-SRS,,51_2_49,802,white oak,16,9.1,3.6,12.6,37.5,-78.2,,,Cumberland County VA,Virginia
FIA-SRS,,51_2_49,806,scarlet oak,2,8.2,4.5,11.9,37.5,-78.2,,,Cumberland County VA,Virginia
FIA-SRS,,51_2_49,812,southern red oak,5,14.1,10,20.3,37.5,-78.2,,,Cumberland County VA,Virginia
FIA-SRS,,51_2_49,832,chestnut oak,1,3.7,3.7,3.7,37.5,-78.2,,,Cumberland County VA,Virginia
FIA-SRS,,51_2_49,837,black oak,6,11.1,4,13.8,37.5,-78.2,,,Cumberland County VA,Virginia
FIA-SRS,,51_2_49,970,elm spp.,1,3.1,3.1,3.1,37.5,-78.2,,,Cumberland County VA,Virginia
FIA-SRS,,51_2_67,68,eastern redcedar,1,11.9,11.9,11.9,37,-79.9,,,Franklin County VA,Virginia
FIA-SRS,,51_2_67,129,eastern white pine,13,8.2,2.3,14.5,37,-79.9,,,Franklin County VA,Virginia
FIA-SRS,,51_2_67,131,loblolly pine,1,11,11,11,37,-79.9,,,Franklin County VA,Virginia
FIA-SRS,,51_2_67,132,Virginia pine,25,7,5,10.7,37,-79.9,,,Franklin County VA,Virginia
FIA-SRS,,51_2_67,316,red maple,19,9.6,2,20.9,37,-79.9,,,Franklin County VA,Virginia
FIA-SRS,,51_2_67,400,hickory spp.,3,15.3,12.1,21.4,37,-79.9,,,Franklin County VA,Virginia
FIA-SRS,,51_2_67,491,flowering dogwood,1,5.3,5.3,5.3,37,-79.9,,,Franklin County VA,Virginia
FIA-SRS,,51_2_67,531,American beech,9,13.8,6.3,24.2,37,-79.9,,,Franklin County VA,Virginia
FIA-SRS,,51_2_67,602,black walnut,1,10.7,10.7,10.7,37,-79.9,,,Franklin County VA,Virginia
FIA-SRS,,51_2_67,621,yellow-poplar,29,12.5,6,22.2,37,-79.9,,,Franklin County VA,Virginia
FIA-SRS,,51_2_67,693,blackgum,3,5.8,5.2,6.1,37,-79.9,,,Franklin County VA,Virginia
FIA-SRS,,51_2_67,731,American sycamore,6,9.1,7.1,13.6,37,-79.9,,,Franklin County VA,Virginia
FIA-SRS,,51_2_67,802,white oak,6,9.8,6.5,12.1,37,-79.9,,,Franklin County VA,Virginia
FIA-SRS,,51_2_67,806,scarlet oak,2,9.6,9.2,10.1,37,-79.9,,,Franklin County VA,Virginia
FIA-SRS,,51_2_67,812,southern red oak,1,11.3,11.3,11.3,37,-79.9,,,Franklin County VA,Virginia
FIA-SRS,,51_2_67,832,chestnut oak,18,11.9,5.4,32.7,37,-79.9,,,Franklin County VA,Virginia
FIA-SRS,,51_2_67,833,northern red oak,1,10.5,10.5,10.5,37,-79.9,,,Franklin County VA,Virginia
FIA-SRS,,51_2_67,837,black oak,6,9.8,5.3,18.2,37,-79.9,,,Franklin County VA,Virginia
FIA-SRS,,51_2_67,901,black locust,1,9.8,9.8,9.8,37,-79.9,,,Franklin County VA,Virginia
FIA-SRS,,51_2_67,999,unknown/other tree,3,7.2,5.2,9.3,37,-79.9,,,Franklin County VA,Virginia
FIA-SRS,,51_2_7,68,eastern redcedar,1,5.5,5.5,5.5,37.3,-78,,,Amelia County VA,Virginia
FIA-SRS,,51_2_7,110,shortleaf pine,19,9.9,5.6,13.2,37.3,-78,,,Amelia County VA,Virginia
FIA-SRS,,51_2_7,131,loblolly pine,4,6.3,4.1,12,37.3,-78,,,Amelia County VA,Virginia
FIA-SRS,,51_2_7,132,Virginia pine,16,9.4,7.6,11.9,37.3,-78,,,Amelia County VA,Virginia
FIA-SRS,,51_2_7,316,red maple,1,9,9,9,37.3,-78,,,Amelia County VA,Virginia
FIA-SRS,,51_2_7,400,hickory spp.,7,14.7,4.9,29.1,37.3,-78,,,Amelia County VA,Virginia
FIA-SRS,,51_2_7,531,American beech,1,21.4,21.4,21.4,37.3,-78,,,Amelia County VA,Virginia
FIA-SRS,,51_2_7,611,sweetgum,7,6.5,3.4,10.7,37.3,-78,,,Amelia County VA,Virginia
FIA-SRS,,51_2_7,621,yellow-poplar,14,9.4,5.3,13.8,37.3,-78,,,Amelia County VA,Virginia
FIA-SRS,,51_2_7,802,white oak,12,9.6,5.2,14.6,37.3,-78,,,Amelia County VA,Virginia
FIA-SRS,,51_2_7,806,scarlet oak,2,10.2,7.8,12.6,37.3,-78,,,Amelia County VA,Virginia
FIA-SRS,,51_2_7,831,willow oak,4,11.2,8,15.4,37.3,-78,,,Amelia County VA,Virginia
FIA-SRS,,51_2_7,832,chestnut oak,11,12.4,6.7,19.1,37.3,-78,,,Amelia County VA,Virginia
FIA-SRS,,51_2_7,833,northern red oak,6,11.9,10.6,14.4,37.3,-78,,,Amelia County VA,Virginia
FIA-SRS,,51_2_7,835,post oak,2,10,9.6,10.4,37.3,-78,,,Amelia County VA,Virginia
FIA-SRS,,51_2_7,837,black oak,5,9.6,4.3,14.4,37.3,-78,,,Amelia County VA,Virginia
FIA-SRS,,51_2_7,970,elm spp.,2,10.6,9.7,11.5,37.3,-78,,,Amelia County VA,Virginia
FIA-SRS,,51_2_7,999,unknown/other tree,1,5.2,5.2,5.2,37.3,-78,,,Amelia County VA,Virginia
FIA-SRS,,51_2_83,68,eastern redcedar,6,5.2,1.6,8.3,36.8,-78.9,,,Halifax County VA,Virginia
FIA-SRS,,51_2_83,110,shortleaf pine,44,9,4.2,15.4,36.8,-78.9,,,Halifax County VA,Virginia
FIA-SRS,,51_2_83,131,loblolly pine,15,11,6.6,14.5,36.8,-78.9,,,Halifax County VA,Virginia
FIA-SRS,,51_2_83,132,Virginia pine,30,9.8,4.9,16.7,36.8,-78.9,,,Halifax County VA,Virginia
FIA-SRS,,51_2_83,316,red maple,4,14.4,10.4,20,36.8,-78.9,,,Halifax County VA,Virginia
FIA-SRS,,51_2_83,400,hickory spp.,6,9.8,5.3,17.5,36.8,-78.9,,,Halifax County VA,Virginia
FIA-SRS,,51_2_83,521,common persimmon,1,3,3,3,36.8,-78.9,,,Halifax County VA,Virginia
FIA-SRS,,51_2_83,611,sweetgum,15,10.3,2.3,21.3,36.8,-78.9,,,Halifax County VA,Virginia
FIA-SRS,,51_2_83,621,yellow-poplar,3,4.1,1.8,7,36.8,-78.9,,,Halifax County VA,Virginia
FIA-SRS,,51_2_83,693,blackgum,2,8.4,6.9,9.8,36.8,-78.9,,,Halifax County VA,Virginia
FIA-SRS,,51_2_83,731,American sycamore,1,16.7,16.7,16.7,36.8,-78.9,,,Halifax County VA,Virginia
FIA-SRS,,51_2_83,762,black cherry,3,3.5,1.6,7,36.8,-78.9,,,Halifax County VA,Virginia
FIA-SRS,,51_2_83,802,white oak,11,9.8,5.5,18.5,36.8,-78.9,,,Halifax County VA,Virginia
FIA-SRS,,51_2_83,812,southern red oak,2,19.5,14.3,24.7,36.8,-78.9,,,Halifax County VA,Virginia
FIA-SRS,,51_2_83,831,willow oak,2,18.1,17.4,18.9,36.8,-78.9,,,Halifax County VA,Virginia
FIA-SRS,,51_2_83,833,northern red oak,1,11,11,11,36.8,-78.9,,,Halifax County VA,Virginia
FIA-SRS,,51_2_83,835,post oak,1,7.6,7.6,7.6,36.8,-78.9,,,Halifax County VA,Virginia
FIA-SRS,,51_2_83,837,black oak,4,11.4,10,13.8,36.8,-78.9,,,Halifax County VA,Virginia
FIA-SRS,,51_2_83,970,elm spp.,5,8,5.2,12.9,36.8,-78.9,,,Halifax County VA,Virginia
FIA-SRS,,51_2_83,999,unknown/other tree,3,9.3,5.1,14.9,36.8,-78.9,,,Halifax County VA,Virginia
FIA-SRS,,51_2_89,110,shortleaf pine,8,7.4,5.1,13.1,36.7,-79.9,,,Henry County VA,Virginia
FIA-SRS,,51_2_89,126,pitch pine,1,7.6,7.6,7.6,36.7,-79.9,,,Henry County VA,Virginia
FIA-SRS,,51_2_89,132,Virginia pine,37,7.1,3.3,12.4,36.7,-79.9,,,Henry County VA,Virginia
FIA-SRS,,51_2_89,316,red maple,9,10.3,5.3,18.6,36.7,-79.9,,,Henry County VA,Virginia
FIA-SRS,,51_2_89,370,birch spp.,2,10.1,7.5,12.7,36.7,-79.9,,,Henry County VA,Virginia
FIA-SRS,,51_2_89,400,hickory spp.,3,14.3,10.3,16.5,36.7,-79.9,,,Henry County VA,Virginia
FIA-SRS,,51_2_89,531,American beech,1,31.2,31.2,31.2,36.7,-79.9,,,Henry County VA,Virginia
FIA-SRS,,51_2_89,621,yellow-poplar,33,14.3,7,31.9,36.7,-79.9,,,Henry County VA,Virginia
FIA-SRS,,51_2_89,693,blackgum,1,9.5,9.5,9.5,36.7,-79.9,,,Henry County VA,Virginia
FIA-SRS,,51_2_89,762,black cherry,2,10.9,10.1,11.8,36.7,-79.9,,,Henry County VA,Virginia
FIA-SRS,,51_2_89,802,white oak,9,11.4,6.4,18,36.7,-79.9,,,Henry County VA,Virginia
FIA-SRS,,51_2_89,832,chestnut oak,6,14.3,8.3,20.4,36.7,-79.9,,,Henry County VA,Virginia
FIA-SRS,,51_2_89,833,northern red oak,2,17.9,17.2,18.5,36.7,-79.9,,,Henry County VA,Virginia
FIA-SRS,,51_2_89,837,black oak,1,5.3,5.3,5.3,36.7,-79.9,,,Henry County VA,Virginia
FIA-SRS,,51_2_89,901,black locust,2,7.5,6.6,8.3,36.7,-79.9,,,Henry County VA,Virginia
FIA-SRS,,51_2_89,999,unknown/other tree,1,5.5,5.5,5.5,36.7,-79.9,,,Henry County VA,Virginia
FIA-SRS,,51_3_107,68,eastern redcedar,3,2.9,1.8,4.3,39.1,-77.6,,,Loudoun County VA,Virginia
FIA-SRS,,51_3_107,126,pitch pine,9,6.7,5.5,8.5,39.1,-77.6,,,Loudoun County VA,Virginia
FIA-SRS,,51_3_107,132,Virginia pine,10,5.9,1,12.1,39.1,-77.6,,,Loudoun County VA,Virginia
FIA-SRS,,51_3_107,316,red maple,5,3.8,1.2,8.6,39.1,-77.6,,,Loudoun County VA,Virginia
FIA-SRS,,51_3_107,400,hickory spp.,13,6.3,1,16,39.1,-77.6,,,Loudoun County VA,Virginia
FIA-SRS,,51_3_107,491,flowering dogwood,5,2.1,1.2,2.9,39.1,-77.6,,,Loudoun County VA,Virginia
FIA-SRS,,51_3_107,540,ash spp.,1,6.1,6.1,6.1,39.1,-77.6,,,Loudoun County VA,Virginia
FIA-SRS,,51_3_107,602,black walnut,1,7.6,7.6,7.6,39.1,-77.6,,,Loudoun County VA,Virginia
FIA-SRS,,51_3_107,621,yellow-poplar,4,6.5,1.5,14,39.1,-77.6,,,Loudoun County VA,Virginia
FIA-SRS,,51_3_107,693,blackgum,1,8.9,8.9,8.9,39.1,-77.6,,,Loudoun County VA,Virginia
FIA-SRS,,51_3_107,762,black cherry,2,1.7,1.6,1.8,39.1,-77.6,,,Loudoun County VA,Virginia
FIA-SRS,,51_3_107,802,white oak,14,11.6,6.7,18.3,39.1,-77.6,,,Loudoun County VA,Virginia
FIA-SRS,,51_3_107,804,swamp white oak,1,15.2,15.2,15.2,39.1,-77.6,,,Loudoun County VA,Virginia
FIA-SRS,,51_3_107,806,scarlet oak,7,7,5.2,10.3,39.1,-77.6,,,Loudoun County VA,Virginia
FIA-SRS,,51_3_107,812,southern red oak,1,12.4,12.4,12.4,39.1,-77.6,,,Loudoun County VA,Virginia
FIA-SRS,,51_3_107,817,shingle oak,2,3.3,3.2,3.4,39.1,-77.6,,,Loudoun County VA,Virginia
FIA-SRS,,51_3_107,820,laurel oak,2,5,5,5,39.1,-77.6,,,Loudoun County VA,Virginia
FIA-SRS,,51_3_107,832,chestnut oak,10,10,6,16.1,39.1,-77.6,,,Loudoun County VA,Virginia
FIA-SRS,,51_3_107,833,northern red oak,9,12,7.1,29.3,39.1,-77.6,,,Loudoun County VA,Virginia
FIA-SRS,,51_3_107,837,black oak,8,12.6,6.3,21.2,39.1,-77.6,,,Loudoun County VA,Virginia
FIA-SRS,,51_3_107,970,elm spp.,5,3.3,1,8.7,39.1,-77.6,,,Loudoun County VA,Virginia
FIA-SRS,,51_3_107,999,unknown/other tree,2,2.8,2.1,3.4,39.1,-77.6,,,Loudoun County VA,Virginia
FIA-SRS,,51_3_109,68,eastern redcedar,2,3.4,1.7,5,38,-78,,,Louisa County VA,Virginia
FIA-SRS,,51_3_109,110,shortleaf pine,32,7.7,5.2,10.9,38,-78,,,Louisa County VA,Virginia
FIA-SRS,,51_3_109,131,loblolly pine,4,4.3,1,12.2,38,-78,,,Louisa County VA,Virginia
FIA-SRS,,51_3_109,132,Virginia pine,72,6.5,1.1,13.1,38,-78,,,Louisa County VA,Virginia
FIA-SRS,,51_3_109,316,red maple,13,12,1.2,22,38,-78,,,Louisa County VA,Virginia
FIA-SRS,,51_3_109,400,hickory spp.,5,8.5,2.2,13.7,38,-78,,,Louisa County VA,Virginia
FIA-SRS,,51_3_109,491,flowering dogwood,2,1.4,1.4,1.5,38,-78,,,Louisa County VA,Virginia
FIA-SRS,,51_3_109,540,ash spp.,2,8,4,12,38,-78,,,Louisa County VA,Virginia
FIA-SRS,,51_3_109,602,black walnut,2,1.1,1,1.3,38,-78,,,Louisa County VA,Virginia
FIA-SRS,,51_3_109,611,sweetgum,5,7.3,3.1,11.6,38,-78,,,Louisa County VA,Virginia
FIA-SRS,,51_3_109,621,yellow-poplar,19,12,6.6,21.4,38,-78,,,Louisa County VA,Virginia
FIA-SRS,,51_3_109,693,blackgum,3,1.3,1,1.7,38,-78,,,Louisa County VA,Virginia
FIA-SRS,,51_3_109,731,American sycamore,1,5.7,5.7,5.7,38,-78,,,Louisa County VA,Virginia
FIA-SRS,,51_3_109,802,white oak,23,8.7,1.1,17,38,-78,,,Louisa County VA,Virginia
FIA-SRS,,51_3_109,806,scarlet oak,2,8.8,7.5,10.1,38,-78,,,Louisa County VA,Virginia
FIA-SRS,,51_3_109,812,southern red oak,8,7,1.6,15.3,38,-78,,,Louisa County VA,Virginia
FIA-SRS,,51_3_109,832,chestnut oak,2,2.5,2.2,2.8,38,-78,,,Louisa County VA,Virginia
FIA-SRS,,51_3_109,833,northern red oak,6,12,6.5,18.7,38,-78,,,Louisa County VA,Virginia
FIA-SRS,,51_3_109,835,post oak,1,5.8,5.8,5.8,38,-78,,,Louisa County VA,Virginia
FIA-SRS,,51_3_109,837,black oak,3,10.8,9.4,11.8,38,-78,,,Louisa County VA,Virginia
FIA-SRS,,51_3_109,970,elm spp.,4,4.2,1.3,12.3,38,-78,,,Louisa County VA,Virginia
FIA-SRS,,51_3_109,999,unknown/other tree,1,1.5,1.5,1.5,38,-78,,,Louisa County VA,Virginia
FIA-SRS,,51_3_113,110,shortleaf pine,3,8.7,6.3,10,38.4,-78.3,,,Madison County VA,Virginia
FIA-SRS,,51_3_113,129,eastern white pine,3,13.7,12.2,16.3,38.4,-78.3,,,Madison County VA,Virginia
FIA-SRS,,51_3_113,132,Virginia pine,19,8.2,4.1,11.6,38.4,-78.3,,,Madison County VA,Virginia
FIA-SRS,,51_3_113,316,red maple,1,11.2,11.2,11.2,38.4,-78.3,,,Madison County VA,Virginia
FIA-SRS,,51_3_113,370,birch spp.,2,14.8,12.8,16.7,38.4,-78.3,,,Madison County VA,Virginia
FIA-SRS,,51_3_113,400,hickory spp.,6,3.6,2,5.3,38.4,-78.3,,,Madison County VA,Virginia
FIA-SRS,,51_3_113,540,ash spp.,2,9.8,7.1,12.5,38.4,-78.3,,,Madison County VA,Virginia
FIA-SRS,,51_3_113,602,black walnut,1,15.3,15.3,15.3,38.4,-78.3,,,Madison County VA,Virginia
FIA-SRS,,51_3_113,621,yellow-poplar,4,14.2,13.2,15.5,38.4,-78.3,,,Madison County VA,Virginia
FIA-SRS,,51_3_113,693,blackgum,3,7.2,2.6,13.3,38.4,-78.3,,,Madison County VA,Virginia
FIA-SRS,,51_3_113,802,white oak,4,13.3,2.9,21,38.4,-78.3,,,Madison County VA,Virginia
FIA-SRS,,51_3_113,806,scarlet oak,3,15.6,9.7,24.5,38.4,-78.3,,,Madison County VA,Virginia
FIA-SRS,,51_3_113,832,chestnut oak,26,12.9,5.1,21.9,38.4,-78.3,,,Madison County VA,Virginia
FIA-SRS,,51_3_113,833,northern red oak,1,14.9,14.9,14.9,38.4,-78.3,,,Madison County VA,Virginia
FIA-SRS,,51_3_113,837,black oak,5,11.6,3.5,16.7,38.4,-78.3,,,Madison County VA,Virginia
FIA-SRS,,51_3_113,901,black locust,7,12.9,10.3,14.5,38.4,-78.3,,,Madison County VA,Virginia
FIA-SRS,,51_3_113,950,basswood spp.,3,17.2,11.2,21.1,38.4,-78.3,,,Madison County VA,Virginia
FIA-SRS,,51_3_125,68,eastern redcedar,4,6.5,2.2,9.6,37.8,-78.9,,,Nelson County VA,Virginia
FIA-SRS,,51_3_125,110,shortleaf pine,4,6.3,2.8,8.1,37.8,-78.9,,,Nelson County VA,Virginia
