author,year,loc,spcd,common_name,sample_size,st_meand_bh,st_mind_bh,st_maxd_bh,lat,lon,prec,lat_lon_der,loc_desc,state
905 Mark Twain,,cmp103 Northfork tornado,806,scarlet oak,3,13.7,12.5,15.8,37.7,-91.1,,,Mark Twain National Forest,Missouri
905 Mark Twain,,cmp103 Northfork tornado,835,post oak,2,14.8,11.2,18.5,37.7,-91.1,,,Mark Twain National Forest,Missouri
905 Mark Twain,,cmp103 Northfork tornado,837,black oak,1,13.3,13.3,13.3,37.7,-91.1,,,Mark Twain National Forest,Missouri
909 Superior,,Corn Dog,12,balsam fir,11,9,7.3,13.5,47.8,-91.4,,,Superior National Forest,Minnesota
909 Superior,,Corn Dog,94,white spruce,5,12.4,8.3,15.7,47.8,-91.4,,,Superior National Forest,Minnesota
909 Superior,,Corn Dog,375,paper birch,6,9.6,6.5,14.5,47.8,-91.4,,,Superior National Forest,Minnesota
909 Superior,,Corn Dog,746,quaking aspen,8,16.5,14.3,20.1,47.8,-91.4,,,Superior National Forest,Minnesota
909 Superior,,Waterfall,94,white spruce,2,9,8.5,9.5,47.8,-91.4,,,Superior National Forest,Minnesota
909 Superior,,Waterfall,125,red pine,66,8.8,5.1,14.5,47.8,-91.4,,,Superior National Forest,Minnesota
910 Hiawatha,,Bluff,94,white spruce,2,9.5,9,10,46.1,-86.7,,,Hiawatha National Forest,Michigan
910 Hiawatha,,Bluff,95,black spruce,1,5.9,5.9,5.9,46.1,-86.7,,,Hiawatha National Forest,Michigan
910 Hiawatha,,Bluff,241,northern white-cedar,27,7.6,5.6,12.2,46.1,-86.7,,,Hiawatha National Forest,Michigan
910 Hiawatha,,Borland Junction,94,white spruce,1,6.4,6.4,6.4,46.1,-86.7,,,Hiawatha National Forest,Michigan
910 Hiawatha,,Borland Junction,105,jack pine,6,11.2,8.9,13.9,46.1,-86.7,,,Hiawatha National Forest,Michigan
910 Hiawatha,,Borland Junction,125,red pine,23,11.2,6.5,16.4,46.1,-86.7,,,Hiawatha National Forest,Michigan
910 Hiawatha,,Elusive Crane,316,red maple,1,9.9,9.9,9.9,46.1,-86.7,,,Hiawatha National Forest,Michigan
910 Hiawatha,,Elusive Crane,318,sugar maple,19,8.8,5,14.2,46.1,-86.7,,,Hiawatha National Forest,Michigan
910 Hiawatha,,Jack of Hearts,125,red pine,8,10.3,5.8,13.2,46.1,-86.7,,,Hiawatha National Forest,Michigan
910 Hiawatha,,Koski Pond Blowdown,95,black spruce,5,8.4,6.7,10.2,46.1,-86.7,,,Hiawatha National Forest,Michigan
910 Hiawatha,,Koski Pond Blowdown,125,red pine,23,11.5,9,13.8,46.1,-86.7,,,Hiawatha National Forest,Michigan
910 Hiawatha,,Lard BT Sale,105,jack pine,31,7.5,4.9,8.7,46.1,-86.7,,,Hiawatha National Forest,Michigan
910 Hiawatha,,Lard BT Sale,125,red pine,18,8.6,5.1,12.3,46.1,-86.7,,,Hiawatha National Forest,Michigan
910 Hiawatha,,Raco,105,jack pine,19,8.3,5.9,11,46.1,-86.7,,,Hiawatha National Forest,Michigan
910 Hiawatha,,Trueman,316,red maple,5,15.5,9,26.7,46.1,-86.7,,,Hiawatha National Forest,Michigan
910 Hiawatha,,Trueman,318,sugar maple,1,11.2,11.2,11.2,46.1,-86.7,,,Hiawatha National Forest,Michigan
910 Hiawatha,,Trueman,531,American beech,2,16.6,15,18.2,46.1,-86.7,,,Hiawatha National Forest,Michigan
910 Hiawatha,,Tucker Hardwood,318,sugar maple,12,8.6,7.2,11,46.1,-86.7,,,Hiawatha National Forest,Michigan
912 Hoosier,,German Ridge Blowdown,318,sugar maple,2,13.8,12.2,15.5,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,German Ridge Blowdown,403,pignut hickory,3,12.6,11.7,14.3,38.4,-86.6,,,Hoosier National Forest,Indiana
