author,loc,spcd,treeno,section_id,ob_d_bot,ob_d_top,ib_d_bot,ib_d_top,len,ht,wdbk_gw,wd_gw,bk_gw,wdbk_dw,wd_dw,bk_dw,wdbk_cv,wd_cv,bk_cv,cen,wd_def1d_1,wd_def1d_2,wd_def1len,wd_def1cl,wd_def2cl,wd_def2d_1,wd_def2d_2,wd_def2len,wd_def3cl_1,wd_def3d_1,wd_def3d_2,wd_def3len,wdbk_d_kerf,wdbk_wid_kerf,wdbk_gw_kerf,wdbk_ar,wd_ar
Lohrey,1,111,154,12,,,,,,54.5,13.4,9.88,3.52,5.24,3.91,1.33,0.24,0.16,0.08,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,154,13,,,,,,59.5,7.8,5.33,2.47,2.93,2.24,0.68,0.14,0.09,0.05,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,154,14,,,,,,65,2,1.21,0.79,0.59,0.46,0.13,0.03,0.02,0.01,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,155,1,,,,,,2,32.2,27,5.2,19.87,14.53,5.34,0.73,0.44,0.28,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,155,2,,,,,,4.5,45,38.63,6.37,26.6,19.99,6.61,0.94,0.59,0.36,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,155,3,,,,,,9.5,79.6,69.71,9.89,41.95,32.81,9.14,1.5,1,0.5,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,155,4,,,,,,14.5,69.4,61.01,8.39,37.05,29.1,7.95,1.34,0.92,0.42,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,155,5,,,,,,19.5,64.7,56.42,8.28,33.69,27.42,6.27,1.21,0.87,0.34,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,155,6,,,,,,24.5,59.5,51.88,7.62,28.91,24.24,4.66,1.05,0.8,0.25,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,155,7,,,,,,29.5,53.6,46.05,7.55,24.01,19.4,4.61,0.92,0.67,0.25,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,155,8,,,,,,34.5,54,45.49,8.51,20.58,16.69,3.88,0.78,0.57,0.22,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,155,9,,,,,,40,42,34.77,7.23,18.7,14.95,3.74,0.72,0.52,0.2,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,155,10,,,,,,44.5,27,21.53,5.47,11.35,8.93,2.42,0.47,0.34,0.13,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,155,11,,,,,,49.5,21.9,16.52,5.38,9.11,7.16,1.95,0.38,0.27,0.1,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,155,12,,,,,,54.5,11.5,8.07,3.43,4.76,3.68,1.08,0.2,0.14,0.06,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,155,13,,,,,,58,2.9,1.78,1.12,1.31,1.06,0.25,0.06,0.04,0.02,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,155,14,,,,,,62,1.1,0.62,0.48,0.37,0.34,0.03,0.02,0.01,0,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,156,1,,,,,,2,56.9,47.04,9.86,34.84,23.6,11.24,1.28,0.75,0.53,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,156,2,,,,,,4.5,75,62.74,12.26,46.4,32.95,13.45,1.67,1.02,0.65,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,156,3,,,,,,9.4,122.3,103.99,18.31,71.9,53.01,18.89,2.63,1.69,0.93,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,156,4,,,,,,14.5,108.7,82.05,26.65,61.77,46.57,15.19,2.33,1.56,0.77,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,156,5,,,,,,19.5,98.8,74.26,24.54,50.06,38.47,11.59,1.95,1.36,0.59,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,156,6,,,,,,24.5,84.7,74.45,10.25,39.77,30.83,8.94,1.6,1.14,0.46,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,156,7,,,,,,29.5,68.6,60,8.6,34.88,27.13,7.75,1.39,1.01,0.38,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,156,8,,,,,,34.5,69.9,60.39,9.51,29.41,23,6.41,1.18,0.87,0.3,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,156,9,,,,,,39.5,52,44.23,7.77,22.27,16.57,5.7,0.93,0.65,0.29,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,156,10,,,,,,45,44.2,36.54,7.66,18.23,12.48,5.75,0.8,0.51,0.29,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,156,11,,,,,,49.5,22.8,18.54,4.26,10.27,7.09,3.18,0.46,0.3,0.16,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,156,12,,,,,,54.5,14.7,11.54,3.16,6,4.13,1.87,0.28,0.18,0.1,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,156,13,,,,,,58.5,4.9,3.48,1.42,1.64,1.16,0.48,0.08,0.05,0.03,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,156,14,,,,,,63,1.7,1.07,0.63,0.35,0.21,0.14,0.02,0.01,0.01,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,157,1,,,,,,2,44.8,39.56,5.24,27.16,20.53,6.63,0.94,0.61,0.33,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,157,2,,,,,,4.5,58.2,51.17,7.03,36.39,28.48,7.91,1.23,0.81,0.42,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,157,3,,,,,,9.5,106.3,93.4,12.9,57.52,43.99,13.53,2.14,1.45,0.68,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,157,4,,,,,,14.5,100.2,89.78,10.42,51.06,38.04,13.02,2.02,1.37,0.64,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,157,5,,,,,,20,102.5,92.39,10.11,48.56,37.51,11.05,1.97,1.43,0.54,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,157,6,,,,,,24.5,76.5,68.66,7.84,34.08,27.77,6.32,1.36,1.05,0.31,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,157,7,,,,,,29.5,72.2,64.11,8.09,32.51,26.34,6.17,1.3,1,0.3,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,157,8,,,,,,34.5,63.2,55.89,7.31,27.32,21.84,5.49,1.12,0.86,0.26,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,157,9,,,,,,39.5,57.8,49.55,8.25,25.6,20.14,5.46,1.03,0.77,0.27,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,157,10,,,,,,44,42.2,36.31,5.89,19.66,15.55,4.11,0.8,0.58,0.22,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,157,11,,,,,,49.5,36.2,31.24,4.96,15.38,11.87,3.51,0.66,0.48,0.18,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,157,12,,,,,,54,17.9,14.05,3.85,7.19,5.18,2.01,0.31,0.22,0.09,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,157,13,,,,,,59.5,9,6.66,2.34,3.91,2.67,1.24,0.17,0.12,0.06,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,157,14,,,,,,65,2,1.3,0.7,0.54,0.32,0.22,0.03,0.01,0.01,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,16,1,,,,,,2,55.2,48.06,7.14,30.93,23.41,7.53,1.16,0.76,0.4,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,16,2,,,,,,4.5,68.6,61.28,7.32,38.77,30.71,8.07,1.45,0.99,0.46,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,16,3,,,,,,9.5,132.8,119.58,13.22,65.23,53.82,11.41,2.49,1.79,0.7,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,16,4,,,,,,14.5,120.1,108.65,11.45,59.18,49.6,9.58,2.31,1.72,0.58,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,16,5,,,,,,19.5,117.7,106.15,11.55,53.34,45.17,8.17,2.11,1.6,0.52,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,16,6,,,,,,24.5,104.6,94.42,10.18,46.28,39.5,6.79,1.86,1.43,0.42,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,16,7,,,,,,29.5,93.1,83.39,9.71,40.13,34.71,5.42,1.64,1.32,0.32,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,16,8,,,,,,34.5,79.6,70.67,8.93,33.52,28.99,4.53,1.4,1.12,0.28,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,16,9,,,,,,39.5,63,55.44,7.56,27.86,23.39,4.48,1.19,0.92,0.27,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,16,10,,,,,,44.5,55.2,47.8,7.4,24.88,20.09,4.79,1.05,0.77,0.28,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,16,11,,,,,,49.5,41.3,35.55,5.75,17.82,14.14,3.67,0.77,0.55,0.22,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,16,12,,,,,,54.2,24.1,20.12,3.98,8.67,6.84,1.83,0.4,0.29,0.11,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,16,13,,,,,,59.5,10.5,7.92,2.58,4.23,3,1.23,0.21,0.14,0.07,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,16,14,,,,,,65,2.5,1.68,0.82,0.65,0.43,0.22,0.04,0.02,0.01,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,175,1,,,,,,2,58,51.29,6.71,38.29,29.76,8.53,1.4,0.97,0.43,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,175,2,,,,,,4.5,83.6,70.91,12.69,53.73,42.98,10.75,1.92,1.36,0.55,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,175,3,,,,,,9.5,149,125.1,23.9,93.78,79.65,14.14,3.25,2.49,0.76,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,175,4,,,,,,14.5,140,124.07,15.93,77.47,68.09,9.38,2.78,2.26,0.52,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,175,5,,,,,,19.5,128.3,116.07,12.23,65.88,56.69,9.18,2.54,2.04,0.5,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,175,6,,,,,,24.5,118.1,107.42,10.68,59.85,51.01,8.83,2.36,1.88,0.48,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,175,7,,,,,,29.5,110.2,99.67,10.53,53.27,45.24,8.03,2.11,1.68,0.43,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,175,8,,,,,,34.5,84.2,74.95,9.25,45.65,39.34,6.31,1.79,1.46,0.34,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,175,9,,,,,,39.5,81.9,72.65,9.25,37.39,32.35,5.04,1.5,1.23,0.27,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,175,10,,,,,,45.5,81,71.2,9.8,33.55,28.88,4.68,1.39,1.13,0.26,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,175,11,,,,,,51.5,53,45.71,7.29,19.09,16.3,2.79,0.84,0.67,0.17,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,175,12,,,,,,55,15.6,13.07,2.53,5.21,4.64,0.57,0.24,0.2,0.04,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,175,13,,,,,,60.5,9.4,7.61,1.79,3.88,3.63,0.25,0.17,0.16,0.01,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,175,14,,,,,,67,2.4,1.8,0.6,0.77,0.57,0.2,0.04,0.03,0.01,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,176,1,,,,,,2,5,3.87,1.13,2.97,1.81,1.16,0.12,0.06,0.06,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,176,2,,,,,,4.5,6.8,5.5,1.3,3.97,2.55,1.43,0.16,0.09,0.07,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,176,3,,,,,,10,12.6,10.28,2.32,6.65,4.51,2.14,0.26,0.16,0.1,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,176,4,,,,,,14.5,8,6.49,1.51,4.09,2.91,1.18,0.16,0.11,0.05,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,176,5,,,,,,19.5,7,5.53,1.47,3.56,2.48,1.08,0.14,0.09,0.04,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,176,6,,,,,,24.5,5.2,4.04,1.16,2.43,1.66,0.77,0.1,0.06,0.03,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,176,7,,,,,,29.5,3.1,2.35,0.75,1.33,0.95,0.38,0.05,0.03,0.02,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,176,8,,,,,,35,1.2,0.83,0.37,0.33,0.24,0.1,0.01,0.01,0,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,177,1,,,,,,2,23.4,20.12,3.28,16.04,11.86,4.18,0.5,0.3,0.2,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,177,2,,,,,,4.5,29,24.88,4.12,20.2,15.7,4.5,0.61,0.39,0.22,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,177,3,,,,,,9.5,50.4,43.83,6.57,36.32,28.84,7.48,1.07,0.7,0.37,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,177,4,,,,,,14.5,45.4,39.79,5.61,31.71,25.78,5.93,0.93,0.6,0.33,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,177,5,,,,,,19.5,41.5,36.44,5.06,25.68,21.09,4.59,0.83,0.55,0.27,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,177,6,,,,,,25,40.2,34.68,5.52,24.54,20.51,4.03,0.78,0.57,0.21,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,177,7,,,,,,30,29.1,24.43,4.67,19.99,16.85,3.14,0.6,0.45,0.16,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,177,8,,,,,,35,23.6,19.3,4.3,16.87,14.22,2.64,0.52,0.38,0.13,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,177,9,,,,,,40.5,19.4,15.24,4.16,14.28,11.82,2.46,0.45,0.32,0.13,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,177,10,,,,,,46,12.2,9.07,3.13,8.8,7.01,1.79,0.29,0.2,0.09,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,177,11,,,,,,50,5,3.49,1.51,3.24,2.38,0.86,0.12,0.07,0.04,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,177,12,,,,,,56,2.6,1.72,0.88,0.95,0.6,0.34,0.04,0.02,0.02,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,178,1,,,,,,2,36.8,30.1,6.7,23.14,15.97,7.17,0.84,0.49,0.35,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,178,2,,,,,,4.5,36.8,30.59,6.21,29.05,20.79,8.26,1.04,0.63,0.41,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,178,3,,,,,,9.5,83.9,70.99,12.91,47.26,35.07,12.19,1.75,1.12,0.63,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,178,4,,,,,,14.5,70.1,59.96,10.14,38.96,30.04,8.92,1.51,1.03,0.48,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,178,5,,,,,,19.5,65,55.46,9.54,35.08,26.91,8.17,1.41,0.97,0.45,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,178,6,,,,,,24.5,58.6,49.66,8.94,30.25,23.13,7.12,1.24,0.86,0.39,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,178,7,,,,,,29.5,51.8,43.16,8.64,24.89,19.45,5.44,1.03,0.74,0.3,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,178,8,,,,,,34.5,43.6,35.78,7.82,19.93,15.78,4.15,0.84,0.6,0.24,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,178,9,,,,,,39.5,35.8,29.04,6.76,15.87,12.42,3.46,0.67,0.47,0.2,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,178,10,,,,,,44.5,26.1,20.61,5.49,10.9,8.5,2.4,0.47,0.33,0.14,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,178,11,,,,,,49,14.2,10.76,3.44,5.33,3.96,1.38,0.24,0.16,0.08,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,178,12,,,,,,54.5,7,5.24,1.76,2.77,2.01,0.76,0.13,0.08,0.04,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,178,13,,,,,,58,1.3,0.94,0.36,0.24,0.19,0.06,0.01,0.01,0,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,179,1,,,,,,3,32.1,24.36,7.74,21.34,10.87,10.47,0.74,0.33,0.4,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,179,2,,,,,,4.5,10.8,8.97,1.83,7,4.56,2.44,0.26,0.13,0.12,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,179,3,,,,,,10,34.2,28.65,5.55,19.3,13.65,5.65,0.7,0.41,0.28,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,179,4,,,,,,15,25.7,21.48,4.22,14.17,10.62,3.56,0.49,0.32,0.18,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,179,5,,,,,,20,22.4,18.52,3.88,11.68,8.8,2.88,0.41,0.27,0.13,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,179,6,,,,,,25,17.4,14.19,3.21,8.42,5.75,2.67,0.32,0.19,0.12,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,179,7,,,,,,29.5,14.2,11.16,3.04,5.43,3.64,1.79,0.22,0.13,0.09,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,179,8,,,,,,35,10.3,7.76,2.54,4.13,3.09,1.04,0.16,0.11,0.05,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,179,9,,,,,,40,3.8,2.6,1.2,1.58,1.05,0.53,0.07,0.04,0.03,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,179,10,,,,,,45,1.1,0.71,0.39,0.23,0.14,0.09,0.01,0.01,0.01,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,180,1,,,,,,2,55.9,46.24,9.66,33.14,22.01,11.12,1.21,0.67,0.54,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,180,2,,,,,,4.5,63.1,52.56,10.54,40.56,28.39,12.17,1.41,0.81,0.6,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,180,3,,,,,,9.5,111.1,95.18,15.92,62.76,47.77,14.99,2.14,1.38,0.77,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,180,4,,,,,,14.5,98.1,79.73,18.37,50.17,40.45,9.72,1.81,1.24,0.57,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,180,5,,,,,,19.5,91.7,71.1,20.6,42.68,35.02,7.66,1.62,1.14,0.48,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,180,6,,,,,,24.5,77.6,64.13,13.47,38.77,32.03,6.74,1.45,1.05,0.41,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,180,7,,,,,,29.5,74.9,63.1,11.8,36.29,29.54,6.75,1.36,0.97,0.39,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,180,8,,,,,,34.5,66.4,55.23,11.17,29.95,23.92,6.03,1.16,0.8,0.36,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,180,9,,,,,,39.5,50.7,41.64,9.06,22.67,17.72,4.96,0.9,0.62,0.29,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,180,10,,,,,,44.5,40.4,32.35,8.05,17.63,13.41,4.22,0.7,0.47,0.23,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,180,11,,,,,,49.5,27.2,20.85,6.35,10.33,7.92,2.41,0.43,0.29,0.14,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,180,12,,,,,,54.5,11.7,8.28,3.42,4.52,3.32,1.2,0.21,0.13,0.07,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,180,13,,,,,,60,3.9,2.56,1.34,1.04,0.7,0.33,0.05,0.03,0.02,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,2,1,,,,,,2,6.4,4.98,1.42,3.36,2.31,1.04,0.14,0.08,0.07,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,2,2,,,,,,4.5,8.6,6.93,1.67,4.39,3.02,1.37,0.2,0.11,0.09,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,2,3,,,,,,9.5,14.8,12.41,2.39,7.23,4.61,2.62,0.31,0.18,0.13,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,2,4,,,,,,14.5,11.8,9.85,1.95,5.2,3.51,1.69,0.23,0.14,0.09,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,2,5,,,,,,19.5,9.4,7.54,1.86,3.91,2.62,1.28,0.17,0.11,0.06,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,2,6,,,,,,24.5,6.1,4.65,1.45,2.66,1.79,0.87,0.12,0.07,0.04,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,2,7,,,,,,29.5,3.2,2.42,0.78,1.34,0.99,0.36,0.06,0.04,0.02,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,2,8,,,,,,36,1.3,0.95,0.35,0.33,0.24,0.1,0.01,0.01,0,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,201,1,,,,,,2,53,45.19,7.81,33.23,23.81,9.42,1.18,0.74,0.43,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,201,2,,,,,,4.5,69.2,60.93,8.27,42.18,32.27,9.91,1.45,0.98,0.48,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,201,3,,,,,,9.5,117.8,106.34,11.46,68.76,54.84,13.92,2.34,1.66,0.68,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,201,4,,,,,,14.5,104.2,94.6,9.6,58.83,48.57,10.25,1.97,1.49,0.48,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,201,5,,,,,,19.5,98.4,89.64,8.76,52.68,44.17,8.51,1.77,1.39,0.37,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,201,6,,,,,,24.5,88.2,80.5,7.7,47.28,40.12,7.16,1.58,1.26,0.32,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,201,7,,,,,,29.5,79.8,72,7.8,42.3,36.26,6.04,1.43,1.17,0.26,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,201,8,,,,,,34.5,73.1,65.12,7.98,43.22,36.83,6.4,1.36,1.1,0.26,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,201,9,,,,,,39.5,66.4,59.61,6.79,37.87,32.29,5.58,1.16,0.94,0.22,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,201,10,,,,,,44.5,55.9,50.37,5.53,26.87,22.01,4.86,0.97,0.77,0.2,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,201,11,,,,,,49.5,49.9,43.79,6.11,22.66,18.41,4.24,0.83,0.66,0.17,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,201,12,,,,,,55.5,52.5,45.38,7.12,27.93,23.82,4.11,0.88,0.72,0.16,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,201,13,,,,,,60.5,33.7,29.17,4.53,19.16,16.38,2.78,0.61,0.5,0.11,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,201,14,,,,,,65.5,25.8,21.74,4.06,11.61,9.98,1.63,0.41,0.34,0.07,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,201,15,,,,,,70,15.8,12.88,2.92,7.13,6.02,1.11,0.26,0.21,0.05,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,201,16,,,,,,75,10.7,8.37,2.33,4.52,3.61,0.92,0.17,0.13,0.04,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,201,17,,,,,,82,3.7,2.73,0.97,1.17,0.89,0.28,0.05,0.03,0.01,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,202,1,,,,,,2,13.5,11.73,1.77,8.42,5.95,2.47,0.32,0.19,0.13,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,202,2,,,,,,4.5,19.7,17.37,2.33,11.8,8.84,2.95,0.44,0.28,0.16,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,202,3,,,,,,9.5,33.7,29.79,3.91,20.76,16.26,4.51,0.72,0.49,0.23,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,202,4,,,,,,14.5,28.7,25.26,3.44,16.38,12.6,3.78,0.62,0.44,0.18,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,202,5,,,,,,19.5,24.6,21.55,3.05,14.76,11.18,3.58,0.55,0.39,0.16,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,202,6,,,,,,24.5,21,18.21,2.79,12.57,9.73,2.84,0.46,0.34,0.12,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,202,7,,,,,,29.5,18.3,15.84,2.46,9.7,7.94,1.76,0.35,0.28,0.07,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,202,8,,,,,,34.5,14.4,12.43,1.97,7.51,6.46,1.05,0.28,0.23,0.05,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,202,9,,,,,,39.5,12.8,10.85,1.95,5.94,5.29,0.65,0.22,0.19,0.03,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,202,10,,,,,,44.5,9.2,7.68,1.52,4.61,3.81,0.8,0.17,0.14,0.03,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,202,11,,,,,,49.5,5.8,4.69,1.11,3.08,2.28,0.8,0.12,0.09,0.03,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,202,12,,,,,,54.5,3.4,2.56,0.84,1.8,1.17,0.64,0.07,0.04,0.02,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,202,13,,,,,,59,1.6,1.17,0.43,0.37,0.22,0.15,0.01,0.01,0.01,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,203,1,,,,,,2,69.7,62.11,7.59,45.7,36.83,8.87,1.44,1.02,0.42,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,203,2,,,,,,4.5,101.6,92.05,9.55,62.93,53.02,9.91,1.89,1.39,0.49,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,203,3,,,,,,9.5,178.6,162.87,15.73,106.9,90.38,16.51,3.33,2.51,0.82,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,203,4,,,,,,14.5,174.7,158.42,16.28,98.36,83.11,15.25,3.12,2.41,0.71,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,203,5,,,,,,19.5,158.8,143.34,15.46,89.75,75.88,13.87,2.92,2.28,0.64,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,203,6,,,,,,24.5,156.9,142.34,14.56,86.29,73.07,13.23,2.75,2.16,0.59,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,203,7,,,,,,29.5,143.4,130.44,12.96,84.04,72.59,11.44,2.57,2.06,0.5,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,203,8,,,,,,34.5,139.2,126.54,12.66,74.02,63.47,10.55,2.36,1.9,0.46,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,203,9,,,,,,39.5,125.4,113.81,11.59,64.31,53.61,10.7,2.19,1.72,0.46,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,203,10,,,,,,44.5,112.4,101.64,10.76,58.68,49.25,9.43,2,1.58,0.42,1,,,,,,,,,,,,,,,,,
Lohrey,1,111,203,11,,,,,,49.5,103.4,92.77,10.63,51.42,43.68,7.75,1.75,1.4,0.35,1,,,,,,,,,,,,,,,,,
