author,loc,spcd,treeno,section_id,ob_d_bot,ob_d_top,ib_d_bot,ib_d_top,len,ht,wdbk_gw,wd_gw,bk_gw,wdbk_dw,wd_dw,bk_dw,wdbk_cv,wd_cv,bk_cv,cen,wd_def1d_1,wd_def1d_2,wd_def1len,wd_def1cl,wd_def2cl,wd_def2d_1,wd_def2d_2,wd_def2len,wd_def3cl_1,wd_def3d_1,wd_def3d_2,wd_def3len,wdbk_d_kerf,wdbk_wid_kerf,wdbk_gw_kerf,wdbk_ar,wd_ar
Baldwin,1,131,100,5,7.4,7,6.9,6.5,5,15,85.7,79.29,6.41,41.44,38.52,2.93,1.41,1.23,0.19,1,,,,,,,,,,,,,,,,9.42,8.77
Baldwin,1,131,100,6,7,6.4,6.5,5.9,5.5,20,87.4,80.31,7.09,39.46,36.35,3.11,1.35,1.16,0.19,1,,,,,,,,,,,,,,,,9.65,8.93
Baldwin,1,131,100,7,6.4,6,5.9,5.7,5,25.5,68.8,63.62,5.18,31.36,28.49,2.87,1.05,0.92,0.13,1,,,,,,,,,,,,,,,,8.12,7.59
Baldwin,1,131,100,8,6,5.5,5.7,5.1,5,30.5,54.8,50.45,4.35,24.08,22.2,1.88,0.9,0.8,0.11,1,,,,,,,,,,,,,,,,7.53,7.07
Baldwin,1,131,100,9,5.5,5,5.1,4.7,5,35.5,47.5,43.45,4.05,20.24,18.1,2.14,0.75,0.66,0.1,1,,,,,,,,,,,,,,,,6.87,6.41
Baldwin,1,131,100,10,5,4.1,4.7,3.8,5,40.5,37.1,33.94,3.16,15.88,14.72,1.17,0.57,0.5,0.07,1,,,,,,,,,,,,,,,,5.96,5.56
Baldwin,1,131,100,11,4.1,2.8,3.8,2.6,5,45.5,22.7,20.43,2.27,9.54,8.5,1.04,0.34,0.29,0.05,1,,,,,,,,,,,,,,,,4.52,4.19
Baldwin,1,131,100,12,2.8,1.7,2.6,1.5,5,50.5,10.8,9.37,1.43,4.36,3.88,0.48,0.15,0.12,0.02,1,,,,,,,,,,,,,,,,2.95,2.68
Baldwin,1,131,100,13,1.7,0,1.5,0,7.5,55.5,3.9,3.21,0.69,1.51,1.19,0.32,0.04,0.03,0.01,1,,,,,,,,,,,,,,,,1.67,1.47
Baldwin,1,131,101,1,8.3,6.5,6,5.1,1.5,0.5,16.3,14.11,2.19,9.49,8.19,1.3,0.45,0.25,0.2,1,,,,,,,,,,,,,,,,2.91,2.18
Baldwin,1,131,101,2,6.5,5.5,5.1,4.7,2.5,2,22.7,20.32,2.38,13.75,12.34,1.41,0.49,0.33,0.17,1,,,,,,,,,,,,,,,,3.93,3.21
Baldwin,1,131,101,3,5.5,4.9,4.7,4.3,5,4.5,41.8,36.81,4.99,25.21,22.17,3.04,0.74,0.55,0.19,1,,,,,,,,,,,,,,,,6.81,5.89
Baldwin,1,131,101,4,4.9,4.6,4.3,4.2,5,9.5,32.5,29.58,2.92,19.17,17.36,1.81,0.62,0.49,0.12,1,,,,,,,,,,,,,,,,6.22,5.56
Baldwin,1,131,101,5,4.6,4.3,4.2,3.9,5.5,14.5,34,31.05,2.95,18.76,16.8,1.96,0.59,0.49,0.1,1,,,,,,,,,,,,,,,,6.41,5.83
Baldwin,1,131,101,6,4.3,4.1,3.9,3.7,4.5,20,26,23.6,2.4,13.82,12.29,1.53,0.43,0.35,0.08,1,,,,,,,,,,,,,,,,4.95,4.48
Baldwin,1,131,101,7,4.1,3.7,3.7,3.4,5,24.5,22.6,20.42,2.18,11.82,10.64,1.18,0.42,0.34,0.07,1,,,,,,,,,,,,,,,,5.11,4.65
Baldwin,1,131,101,8,3.7,3.4,3.4,3.1,5,29.5,20.8,18.83,1.97,11.68,9.96,1.73,0.34,0.29,0.06,1,,,,,,,,,,,,,,,,4.65,4.25
Baldwin,1,131,101,9,3.4,2.9,3.1,2.6,5,34.5,16.5,14.89,1.61,8.47,7.64,0.83,0.27,0.22,0.05,1,,,,,,,,,,,,,,,,4.12,3.73
Baldwin,1,131,101,10,2.9,2.5,2.6,2.4,5,39.5,11.9,10.72,1.18,5.92,5.45,0.48,0.2,0.17,0.03,1,,,,,,,,,,,,,,,,3.53,3.27
Baldwin,1,131,101,11,2.5,2,2.4,1.9,5,44.5,8.9,7.78,1.12,4.28,3.78,0.5,0.14,0.13,0.01,1,,,,,,,,,,,,,,,,2.95,2.81
Baldwin,1,131,101,12,2,1.3,1.9,1.2,5,49.5,4.9,4.3,0.6,2.31,2.04,0.27,0.08,0.07,0.01,1,,,,,,,,,,,,,,,,2.16,2.03
Baldwin,1,131,101,13,1.3,0,1.2,0,6.5,54.5,1.4,1.13,0.27,0.57,0.48,0.09,0.02,0.02,0,1,,,,,,,,,,,,,,,,1.11,1.02
Baldwin,1,131,102,1,12.1,9.8,9.5,8.1,1.5,0.5,43,38.42,4.58,24.52,21.73,2.8,0.99,0.64,0.35,1,,,,,,,,,,,,,,,,4.3,3.46
Baldwin,1,131,102,2,9.8,9,8.1,7.6,2.5,2,58.7,45.77,12.93,38.04,32.08,5.96,1.21,0.84,0.37,1,,,,,,,,,,,,,,,,6.15,5.14
Baldwin,1,131,102,3,9,8.3,7.6,7.6,4.5,4.5,106.1,96.88,9.22,60.89,56.02,4.86,1.84,1.42,0.42,1,,,,,,,,,,,,,,,,10.19,8.95
Baldwin,1,131,102,4,8.3,8,7.6,7.1,5,9,103.9,94.41,9.49,56.72,52.24,4.48,1.81,1.47,0.34,1,,,,,,,,,,,,,,,,10.67,9.62
Baldwin,1,131,102,5,8,7.7,7.1,6.9,5.5,14,88.6,81.92,6.68,46.81,43.57,3.24,1.85,1.47,0.38,1,,,,,,,,,,,,,,,,11.3,10.08
Baldwin,1,131,102,6,7.7,7.2,6.9,6.6,4.5,19.5,76.9,60.06,16.84,38.71,29.87,8.84,1.36,1.12,0.24,1,,,,,,,,,,,,,,,,8.78,7.95
Baldwin,1,131,102,7,7.2,6.8,6.6,6.2,5,24,77.7,71,6.7,37.42,34.25,3.16,1.34,1.12,0.22,1,,,,,,,,,,,,,,,,9.16,8.38
Baldwin,1,131,102,8,6.8,6.5,6.2,5.9,5,29,68.7,63.08,5.62,32.08,29.87,2.21,1.21,1,0.21,1,,,,,,,,,,,,,,,,8.7,7.92
Baldwin,1,131,102,9,6.5,5.7,5.9,5.3,5,34,60.2,43.5,16.7,33.26,25.67,7.59,1.02,0.86,0.16,1,,,,,,,,,,,,,,,,7.98,7.33
Baldwin,1,131,102,10,5.7,5.2,5.3,4.7,10,39,48.1,43.16,4.94,20.98,19.09,1.89,1.62,1.37,0.25,1,,,,,,,,,,,,,,,,14.27,13.09
Baldwin,1,131,102,11,5.2,4.2,4.7,3.8,0.5,49,39.2,34.65,4.55,18.48,16.66,1.82,0.06,0.05,0.01,1,,,,,,,,,,,,,,,,0.62,0.56
Baldwin,1,131,102,12,4.2,3.7,3.8,3.1,5.4,49.5,21.2,18.33,2.87,8.79,7.74,1.05,0.46,0.35,0.11,1,,,,,,,,,,,,,,,,5.58,4.88
Baldwin,1,131,102,13,3.7,2,3.1,1.7,4.1,54.9,11.4,9.27,2.13,4.84,4.13,0.71,0.2,0.14,0.06,1,,,,,,,,,,,,,,,,3.06,2.58
Baldwin,1,131,102,14,2,0,1.7,0,8,59,4.4,3.47,0.93,1.65,1.36,0.29,0.06,0.04,0.02,1,,,,,,,,,,,,,,,,2.09,1.78
Baldwin,1,131,103,1,12.5,10.5,10.1,8.8,1.5,0.5,46.5,42.19,4.31,26.55,24.27,2.28,1.09,0.73,0.36,1,,,,,,,,,,,,,,,,4.52,3.71
Baldwin,1,131,103,2,10.5,9.7,8.8,8.3,2.5,2,63,56.32,6.68,37.89,34.04,3.85,1.39,1,0.4,1,,,,,,,,,,,,,,,,6.61,5.6
Baldwin,1,131,103,3,9.7,9,8.3,7.9,5,4.5,121.9,109.57,12.33,71.87,65.88,6,2.39,1.79,0.6,1,,,,,,,,,,,,,,,,12.24,10.6
Baldwin,1,131,103,4,9,8.9,7.9,8.1,5,9.5,116.5,106.18,10.32,72.28,67,5.28,2.18,1.75,0.44,1,,,,,,,,,,,,,,,,11.72,10.47
Baldwin,1,131,103,5,8.9,8.4,8.1,7.8,5,14.5,109.9,99.94,9.96,60.66,55.35,5.31,2.04,1.72,0.32,1,,,,,,,,,,,,,,,,11.32,10.41
Baldwin,1,131,103,6,8.4,8,7.8,7.4,5,19.5,102.8,94.17,8.63,50.75,47.04,3.71,1.83,1.58,0.26,1,,,,,,,,,,,,,,,,10.73,9.95
Baldwin,1,131,103,7,8,7.8,7.4,7.1,5,24.5,95.6,87.74,7.86,50.13,46.87,3.26,1.7,1.43,0.27,1,,,,,,,,,,,,,,,,10.34,9.49
Baldwin,1,131,103,8,7.8,7.2,7.1,6.7,5,29.5,85.3,78.32,6.98,44.87,41.82,3.05,1.54,1.3,0.24,1,,,,,,,,,,,,,,,,9.82,9.03
Baldwin,1,131,103,9,7.2,6.7,6.7,6.2,5,34.5,76.8,69.91,6.89,38.71,36.27,2.44,1.32,1.14,0.18,1,,,,,,,,,,,,,,,,9.1,8.44
Baldwin,1,131,103,10,6.7,6.2,6.2,5.7,5,39.5,65.8,59.65,6.15,31.98,29.79,2.19,1.14,0.97,0.17,1,,,,,,,,,,,,,,,,8.44,7.79
Baldwin,1,131,103,11,6.2,5.5,5.7,5,5,44.5,52.3,46.66,5.64,24.59,22.81,1.79,0.94,0.78,0.15,1,,,,,,,,,,,,,,,,7.66,7
Baldwin,1,131,103,12,5.5,4.5,5,4.1,5,49.5,39.9,35.17,4.73,18.58,17.21,1.37,0.69,0.57,0.12,1,,,,,,,,,,,,,,,,6.54,5.96
Baldwin,1,131,103,13,4.5,3.2,4.1,3,5,54.5,24.6,23.38,1.22,10.25,9.86,0.39,0.42,0.35,0.06,1,,,,,,,,,,,,,,,,5.04,4.65
Baldwin,1,131,103,14,3.2,2.1,3,1.8,4.5,59.5,10.6,8.57,2.03,4.5,3.91,0.59,0.18,0.15,0.03,1,,,,,,,,,,,,,,,,3.12,2.83
Baldwin,1,131,103,15,2.1,0,1.8,0,7,64,4.5,3.48,1.02,1.87,1.54,0.34,0.06,0.04,0.01,1,,,,,,,,,,,,,,,,1.92,1.65
Baldwin,1,131,104,1,18.8,16.3,16.6,15,1.5,0.5,114.1,107.58,6.52,65.7,62.49,3.2,2.53,2.05,0.49,1,,,,,,,,,,,,,,,,6.89,6.2
Baldwin,1,131,104,2,16.3,15.3,15,14,2.5,2,201.3,189.74,11.56,114.48,106.75,7.73,3.41,2.87,0.54,1,,,,,,,,,,,,,,,,10.34,9.49
Baldwin,1,131,104,3,15.3,14.7,14,13.6,5,4.5,357.2,336.41,20.79,209.78,196.81,12.97,6.14,5.19,0.94,1,,,,,,,,,,,,,,,,19.63,18.06
Baldwin,1,131,104,4,14.7,14.2,13.6,13.3,5.5,9.5,376.7,354.8,21.9,209.05,195.93,13.12,6.27,5.43,0.84,1,,,,,,,,,,,,,,,,20.81,19.37
Baldwin,1,131,104,5,14.2,13.9,13.3,13.1,5,15,323.2,302.94,20.26,172.45,160.15,12.3,5.38,4.75,0.63,1,,,,,,,,,,,,,,,,18.39,17.28
Baldwin,1,131,104,6,13.9,13.8,13.1,12.7,5,20,293.2,227.88,65.32,159.38,125.03,34.35,5.23,4.54,0.69,1,,,,,,,,,,,,,,,,18.13,16.89
Baldwin,1,131,104,7,13.8,13.1,12.7,11.4,5,25,290,277.42,12.58,170.79,163.5,7.29,4.94,3.97,0.97,1,,,,,,,,,,,,,,,,17.61,15.77
Baldwin,1,131,104,8,13.1,12.5,11.4,11.5,5,30,255.9,242.24,13.66,131,123.5,7.5,4.47,3.58,0.9,1,,,,,,,,,,,,,,,,16.76,14.99
Baldwin,1,131,104,9,12.5,12,11.5,10.9,5,35,235.2,221.67,13.53,125.04,117.81,7.23,4.09,3.42,0.67,1,,,,,,,,,,,,,,,,16.04,14.66
Baldwin,1,131,104,10,12,11,10.9,10.4,4.5,40,188.2,176.81,11.39,91.7,85.77,5.93,3.25,2.79,0.47,1,,,,,,,,,,,,,,,,13.55,12.55
Baldwin,1,131,104,11,11,10.5,10.4,9.8,5,44.5,197.5,183.77,13.73,94.57,87.58,6.99,3.15,2.78,0.37,1,,,,,,,,,,,,,,,,14.07,13.22
Baldwin,1,131,104,12,10.5,9.3,9.8,9,5,49.5,173.4,162.3,11.1,83.19,77.63,5.56,2.68,2.41,0.27,1,,,,,,,,,,,,,,,,12.96,12.3
Baldwin,1,131,104,13,9.3,8.4,9,8,5,54.5,140.7,130.7,10,72.9,68.31,4.59,2.14,1.98,0.16,1,,,,,,,,,,,,,,,,11.58,11.13
Baldwin,1,131,104,14,8.4,7.4,8,6.9,5,59.5,121.2,111.97,9.23,56.27,52.58,3.69,1.71,1.52,0.19,1,,,,,,,,,,,,,,,,10.34,9.75
Baldwin,1,131,104,15,7.4,6.3,6.9,5.9,5,64.5,87.9,80.34,7.56,38.84,35.6,3.24,1.29,1.12,0.16,1,,,,,,,,,,,,,,,,8.97,8.38
Baldwin,1,131,104,16,6.3,4.7,5.9,4.4,5,69.5,60.9,54.91,5.99,27.44,25.17,2.27,0.84,0.74,0.1,1,,,,,,,,,,,,,,,,7.2,6.74
